YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,SHRIMP_EQUIVALENT_TONNES
2016,PERU,PUERTO DEL CALLAO,ILLARI SOCIEDAD ANONIMA CERRADA,ILLARI SOCIEDAD ANONIMA CERRADA,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,0.22,0.0003
2015,PERU,PUERTO DEL CALLAO,INVERSIONES PRISCO S A C,INVERSIONES PRISCO S A C,CANADA,CANADA,Shrimp equivalents,1114802.02,90.12
2016,PERU,PUERTO DEL CALLAO,INVERSIONES PRISCO S A C,INVERSIONES PRISCO S A C,CANADA,CANADA,Shrimp equivalents,366287.43,33.54576
2017,PERU,PUERTO DEL CALLAO,INVERSIONES PRISCO S A C,INVERSIONES PRISCO S A C,CANADA,CANADA,Shrimp equivalents,228790.64,23.08464
2018,PERU,PUERTO DEL CALLAO,INVERSIONES PRISCO S A C,INVERSIONES PRISCO S A C,CANADA,CANADA,Shrimp equivalents,71.6,0.01792
2017,PERU,PUERTO DEL CALLAO,INVERSIONES PRISCO S A C,INVERSIONES PRISCO S A C,FRANCE,EUROPEAN UNION,Shrimp equivalents,5,0.005
2017,PERU,PUERTO DEL CALLAO,INVERSIONES PRISCO S A C,INVERSIONES PRISCO S A C,UNITED STATES,UNITED STATES,Shrimp equivalents,12.11,0.01918
2018,PERU,PUERTO DEL CALLAO,INVERSIONES PRISCO S A C,INVERSIONES PRISCO S A C,UNITED STATES,UNITED STATES,Shrimp equivalents,109.5,0.06081
2014,PERU,PUERTO DEL CALLAO,INVERSIONES PROPIURA SOCIEDAD ANONIMA,INVERSIONES PROPIURA SOCIEDAD ANONIMA,UNITED STATES,UNITED STATES,Shrimp equivalents,1,0.00272
2013,PERU,PUERTO DEL CALLAO,LA FRAGATA S A,LA FRAGATA S A,JAPAN,JAPAN,Shrimp equivalents,1,0.0144
2014,PERU,PUERTO DEL CALLAO,LA FRAGATA S A,LA FRAGATA S A,JAPAN,JAPAN,Shrimp equivalents,1,0.0054
2016,PERU,PUERTO DEL CALLAO,LA FRAGATA S A,LA FRAGATA S A,JAPAN,JAPAN,Shrimp equivalents,1,0.004
2013,PERU,PUERTO DEL CALLAO,LA FRAGATA S A,LA FRAGATA S A,UNITED STATES,UNITED STATES,Shrimp equivalents,793576,99.79031
2016,PERU,PUERTO DEL CALLAO,MALBOMIZ IMPORT EXPORT S.R.L.,MALBOMIZ IMPORT EXPORT S.R.L.,CURACAO,CURACAO,Shrimp equivalents,26226.9,2.829
2017,PERU,PUERTO DEL CALLAO,MALBOMIZ IMPORT EXPORT S.R.L.,MALBOMIZ IMPORT EXPORT S.R.L.,CURACAO,CURACAO,Shrimp equivalents,1402.5,0.165
2018,PERU,PUERTO DEL CALLAO,MARINAZUL S A,MARINAZUL S A,CANADA,CANADA,Shrimp equivalents,1,0.004
2013,PERU,PUERTO DEL CALLAO,MARINAZUL S A,MARINAZUL S A,JAPAN,JAPAN,Shrimp equivalents,20,0.07
2017,PERU,PUERTO DEL CALLAO,MARINAZUL S A,MARINAZUL S A,JAPAN,JAPAN,Shrimp equivalents,14,0.014
2018,PERU,PUERTO DEL CALLAO,MARINAZUL S A,MARINAZUL S A,JAPAN,JAPAN,Shrimp equivalents,8,0.004
2017,PERU,PUERTO DEL CALLAO,MARINAZUL S A,MARINAZUL S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,3,0.003
2015,PERU,PUERTO DEL CALLAO,MARINAZUL S A,MARINAZUL S A,UNITED STATES,UNITED STATES,Shrimp equivalents,40,0.01818
2017,PERU,PUERTO DEL CALLAO,MARINAZUL S A,MARINAZUL S A,UNITED STATES,UNITED STATES,Shrimp equivalents,39.44,0.03773
2018,PERU,PUERTO DEL CALLAO,MONDO IMPRENDITORE S A C,MONDO IMPRENDITORE S A C,BELGIUM,EUROPEAN UNION,Shrimp equivalents,3.6,0.01555
2018,PERU,PUERTO DEL CALLAO,MONDO IMPRENDITORE S A C,MONDO IMPRENDITORE S A C,CHINA (HONG KONG),CHINA (HONG KONG),Shrimp equivalents,3,0.00378
2018,PERU,PUERTO DEL CALLAO,MONDO IMPRENDITORE S A C,MONDO IMPRENDITORE S A C,UNITED STATES,UNITED STATES,Shrimp equivalents,6.9,0.05043
2013,PERU,PUERTO DEL CALLAO,NEGOCIACIONES E INVERSIONES SION S A,NEGOCIACIONES E INVERSIONES SION S A,PANAMA,PANAMA,Shrimp equivalents,2,0.00091
2016,PERU,PUERTO DEL CALLAO,PERUVIAN ANDEAN TROUT S A C,PERUVIAN ANDEAN TROUT S A C,UNITED STATES,UNITED STATES,Shrimp equivalents,7,0.00064
2018,PERU,PUERTO DEL CALLAO,PESCANDINA SOCIEDAD ANONIMA CERRADA,PESCANDINA SOCIEDAD ANONIMA CERRADA,UNITED STATES,UNITED STATES,Shrimp equivalents,360,0.03628
2016,PERU,PUERTO DEL CALLAO,POLARIS E.I.R.L.,POLARIS E.I.R.L.,UNKNOWN COUNTRY,UNKNOWN COUNTRY,Shrimp equivalents,2559.44,0.85
2014,PERU,PUERTO DEL CALLAO,PROTEFISH S A C,PROTEFISH S A C,NORWAY,NORWAY,Shrimp equivalents,10,0.03
2016,PERU,PUERTO DEL CALLAO,PROVEEDORA DE PRODUCTOS MARINOS SOCIEDAD,PROVEEDORA DE PRODUCTOS MARINOS SOCIEDAD,UNITED STATES,UNITED STATES,Shrimp equivalents,11.37,0.01137
2018,PERU,PUERTO DEL CALLAO,PROVEEDORA DE PRODUCTOS MARINOS SOCIEDAD,PROVEEDORA DE PRODUCTOS MARINOS SOCIEDAD,UNITED STATES,UNITED STATES,Shrimp equivalents,56,0.0254
2018,PERU,PUERTO DEL CALLAO,PUERTOS DEL PACIFICO S A,PUERTOS DEL PACIFICO S A,CANADA,CANADA,Shrimp equivalents,1,0.0005
2015,PERU,PUERTO DEL CALLAO,SAKANA DEL PERU S.A,SAKANA DEL PERU S.A,JAPAN,JAPAN,Shrimp equivalents,41.2,0.0824
2018,PERU,PUERTO DEL CALLAO,SEAFROST S.A.C.,SEAFROST S.A.C.,CANADA,CANADA,Shrimp equivalents,169.16,0.01879
2017,PERU,PUERTO DEL CALLAO,SEAFROST S.A.C.,SEAFROST S.A.C.,UNITED STATES,UNITED STATES,Shrimp equivalents,72,0.0139
2018,PERU,PUERTO DEL CALLAO,SEAFROST S.A.C.,SEAFROST S.A.C.,UNITED STATES,UNITED STATES,Shrimp equivalents,58.65,0.00673
2017,PERU,PUERTO DEL CALLAO,SGS DEL PERU S.A.C.,SGS DEL PERU S.A.C.,SPAIN,EUROPEAN UNION,Shrimp equivalents,2,0.00095
2018,PERU,PUERTO DEL CALLAO,SPRING VALLEY FRUIT S A C,SPRING VALLEY FRUIT S A C,CHINA (HONG KONG),CHINA (HONG KONG),Shrimp equivalents,0.78,0.00248
2016,PERU,PUERTO DEL CALLAO,VINNCI S A C,VINNCI S A C,UNITED STATES,UNITED STATES,Shrimp equivalents,7,0.0105
2016,PERU,TUMBES,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,SPAIN,EUROPEAN UNION,Shrimp equivalents,48383.6,6.172
2016,PERU,TUMBES,CCORAL S A,CCORAL S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,611438.84,95.708
2016,PERU,TUMBES,DEXIM SRL,DEXIM SRL,ECUADOR,ECUADOR,Shrimp equivalents,107392.77,18.18924
2016,PERU,TUMBES,INTRIAGO ALVAREZ JOSE GREGORIO,INTRIAGO ALVAREZ JOSE GREGORIO,COLOMBIA,COLOMBIA,Shrimp equivalents,3508,8.77
2016,PERU,TUMBES,LANGOSTINERASANMARTINSOCIEDADANONIMACERR,LANGOSTINERASANMARTINSOCIEDADANONIMACERR,SPAIN,EUROPEAN UNION,Shrimp equivalents,124076.35,13.417
2016,PERU,TUMBES,LANGOSTINERA ULISES SA,LANGOSTINERA ULISES SA,SPAIN,EUROPEAN UNION,Shrimp equivalents,320319.94,45.875
2016,PERU,TUMBES,MARINAZUL S A,MARINAZUL S A,UNITED STATES,UNITED STATES,Shrimp equivalents,155517,18.18181
2013,PERU,TUMBES,NATURAL FARM S.A.C,NATURAL FARM S.A.C,ECUADOR,ECUADOR,Shrimp equivalents,321739.19,41.71636
