YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,SUGARCANE_EQUIVALENT_TONNES
2016,BRAZIL,PARANAGUA,USINA OUROESTE - ACUCAR E ALCOOL,USINA OUROESTE - ACUCAR E ALCOOL,CANADA,CANADA,Sugarcane equivalents,157897,3579.1413651
2015,BRAZIL,PARANAGUA,USINA OUROESTE - ACUCAR E ALCOOL,USINA OUROESTE - ACUCAR E ALCOOL,INDIA,INDIA,Sugarcane equivalents,2147472,41081.58
2015,BRAZIL,PARANAGUA,USINA OUROESTE - ACUCAR E ALCOOL,USINA OUROESTE - ACUCAR E ALCOOL,ISRAEL,ISRAEL,Sugarcane equivalents,3331843,63708.40134
2015,BRAZIL,PARANAGUA,USINA OUROESTE - ACUCAR E ALCOOL,USINA OUROESTE - ACUCAR E ALCOOL,MALAYSIA,MALAYSIA,Sugarcane equivalents,542801,10168.3529199
2016,BRAZIL,PARANAGUA,USINA OUROESTE - ACUCAR E ALCOOL,USINA OUROESTE - ACUCAR E ALCOOL,NIGERIA,NIGERIA,Sugarcane equivalents,24760,503.1961011
2016,BRAZIL,PARANAGUA,USINA PETRIBU SA,USINA PETRIBU SA,SPAIN,EUROPEAN UNION,Sugarcane equivalents,152534,2236.6638
2015,BRAZIL,PARANAGUA,USINA RIO PARDO S/A,USINA RIO PARDO S/A,ALGERIA,ALGERIA,Sugarcane equivalents,1558894,39560.04
2015,BRAZIL,PARANAGUA,USINA RIO PARDO S/A,USINA RIO PARDO S/A,BANGLADESH,BANGLADESH,Sugarcane equivalents,502946,11774.5818363
2016,BRAZIL,PARANAGUA,USINA RIO PARDO S/A,USINA RIO PARDO S/A,CANADA,CANADA,Sugarcane equivalents,361977,9509.625
2016,BRAZIL,PARANAGUA,USINA RIO PARDO S/A,USINA RIO PARDO S/A,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Sugarcane equivalents,507774,14682.861
2015,BRAZIL,PARANAGUA,USINA RIO PARDO S/A,USINA RIO PARDO S/A,GEORGIA,GEORGIA,Sugarcane equivalents,444031,9890.01
2016,BRAZIL,PARANAGUA,USINA RIO PARDO S/A,USINA RIO PARDO S/A,INDONESIA,INDONESIA,Sugarcane equivalents,761719,21502.4565339
2015,BRAZIL,PARANAGUA,USINA RIO PARDO S/A,USINA RIO PARDO S/A,MALAYSIA,MALAYSIA,Sugarcane equivalents,1879585,44124.66
2016,BRAZIL,PARANAGUA,USINA RIO PARDO S/A,USINA RIO PARDO S/A,MALAYSIA,MALAYSIA,Sugarcane equivalents,207162,6097.4650422
2015,BRAZIL,PARANAGUA,USINA RIO PARDO S/A,USINA RIO PARDO S/A,NIGERIA,NIGERIA,Sugarcane equivalents,349859,9509.625
2016,BRAZIL,PARANAGUA,USINA RIO PARDO S/A,USINA RIO PARDO S/A,NIGERIA,NIGERIA,Sugarcane equivalents,656155,19019.25
2017,BRAZIL,PARANAGUA,USINA SANTA FE S/A.,USINA SANTA FE S/A.,UNKNOWN COUNTRY,UNKNOWN COUNTRY,Sugarcane equivalents,1542051,28757.106
2015,BRAZIL,PARANAGUA,USINA SERRA GRANDE SA,USINA SERRA GRANDE SA,GAMBIA,GAMBIA,Sugarcane equivalents,148078,3081.1185
2016,BRAZIL,PARANAGUA,USINA TRAPICHE S/A,USINA TRAPICHE S/A,GUINEA,GUINEA,Sugarcane equivalents,11969,205.4079
2017,BRAZIL,PARANAGUA,VALE DO PARANA S/A - ALCOOL E ACUCAR,VALE DO PARANA S/A - ALCOOL E ACUCAR,ALGERIA,ALGERIA,Sugarcane equivalents,1025361,17497.71
2017,BRAZIL,PARANAGUA,VALE DO PARANA S/A - ALCOOL E ACUCAR,VALE DO PARANA S/A - ALCOOL E ACUCAR,CANADA,CANADA,Sugarcane equivalents,8945383,145833.5608785
2017,BRAZIL,PARANAGUA,VALE DO PARANA S/A - ALCOOL E ACUCAR,VALE DO PARANA S/A - ALCOOL E ACUCAR,CROATIA,EUROPEAN UNION,Sugarcane equivalents,1415335,23059.5092775
2017,BRAZIL,PARANAGUA,VALE DO PARANA S/A - ALCOOL E ACUCAR,VALE DO PARANA S/A - ALCOOL E ACUCAR,EGYPT,EGYPT,Sugarcane equivalents,980216,16736.94
2017,BRAZIL,PARANAGUA,VALE DO PARANA S/A - ALCOOL E ACUCAR,VALE DO PARANA S/A - ALCOOL E ACUCAR,IRAQ,IRAQ,Sugarcane equivalents,4824008,76801.0704552
2017,BRAZIL,PARANAGUA,VALE DO PARANA S/A - ALCOOL E ACUCAR,VALE DO PARANA S/A - ALCOOL E ACUCAR,KENYA,KENYA,Sugarcane equivalents,1442139,25637.949
2017,BRAZIL,PARANAGUA,VALE DO PARANA S/A - ALCOOL E ACUCAR,VALE DO PARANA S/A - ALCOOL E ACUCAR,MALAYSIA,MALAYSIA,Sugarcane equivalents,7812687,126996.5152935
2017,BRAZIL,PARANAGUA,VALE DO PARANA S/A - ALCOOL E ACUCAR,VALE DO PARANA S/A - ALCOOL E ACUCAR,NEW ZEALAND,NEW ZEALAND,Sugarcane equivalents,1602418,25440.1488
2017,BRAZIL,PARANAGUA,VALE DO PARANA S/A - ALCOOL E ACUCAR,VALE DO PARANA S/A - ALCOOL E ACUCAR,NIGERIA,NIGERIA,Sugarcane equivalents,1131606,19780.02
2017,BRAZIL,PARANAGUA,VALE DO PARANA S/A - ALCOOL E ACUCAR,VALE DO PARANA S/A - ALCOOL E ACUCAR,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Sugarcane equivalents,5043880,81087.7735665
2017,BRAZIL,PARANAGUA,VALE DO PARANA S/A - ALCOOL E ACUCAR,VALE DO PARANA S/A - ALCOOL E ACUCAR,TAIWAN,TAIWAN,Sugarcane equivalents,2186679,34720.934184
2017,BRAZIL,PARANAGUA,VALE DO PARANA S/A - ALCOOL E ACUCAR,VALE DO PARANA S/A - ALCOOL E ACUCAR,TUNISIA,TUNISIA,Sugarcane equivalents,1518726,24268.563
2015,BRAZIL,PARANAGUA,WILMAR SUGAR BRASIL COMERCIAL LTDA.,WILMAR SUGAR BRASIL COMERCIAL LTDA.,ALGERIA,ALGERIA,Sugarcane equivalents,21975657,348432.66
2015,BRAZIL,PARANAGUA,WILMAR SUGAR BRASIL COMERCIAL LTDA.,WILMAR SUGAR BRASIL COMERCIAL LTDA.,MALAYSIA,MALAYSIA,Sugarcane equivalents,16056880,258661.8
2015,BRAZIL,PONTA PORA,"ALDEKE - COMERCIO, IMPORTACAO E EXPORTACAO","ALDEKE - COMERCIO, IMPORTACAO E EXPORTACAO",PARAGUAY,PARAGUAY,Sugarcane equivalents,30,0.0912924
2015,BRAZIL,PONTA PORA,ARM IMPORTADORA E EXPORTADORA EIRELI,ARM IMPORTADORA E EXPORTADORA EIRELI,PARAGUAY,PARAGUAY,Sugarcane equivalents,795,3.423465
2016,BRAZIL,PONTA PORA,ARM IMPORTADORA E EXPORTADORA EIRELI,ARM IMPORTADORA E EXPORTADORA EIRELI,PARAGUAY,PARAGUAY,Sugarcane equivalents,168,0.5629698
2017,BRAZIL,PONTA PORA,ARM IMPORTADORA E EXPORTADORA EIRELI,ARM IMPORTADORA E EXPORTADORA EIRELI,PARAGUAY,PARAGUAY,Sugarcane equivalents,29905,480.06354553
2015,BRAZIL,PONTA PORA,EXPORTADORA E IMPORTADORA GLOBO,EXPORTADORA E IMPORTADORA GLOBO,PARAGUAY,PARAGUAY,Sugarcane equivalents,151,0.456462
2016,BRAZIL,PONTA PORA,EXPORTADORA E IMPORTADORA GLOBO,EXPORTADORA E IMPORTADORA GLOBO,PARAGUAY,PARAGUAY,Sugarcane equivalents,196,1.217232
2017,BRAZIL,PONTA PORA,EXPORTADORA E IMPORTADORA GLOBO,EXPORTADORA E IMPORTADORA GLOBO,PARAGUAY,PARAGUAY,Sugarcane equivalents,124601,1512.1698942
2017,BRAZIL,PONTA PORA,EXPORTADORA E IMPORTADORA RIO BRANCO LTDA EPP,EXPORTADORA E IMPORTADORA RIO BRANCO LTDA EPP,PARAGUAY,PARAGUAY,Sugarcane equivalents,12703,151.47288045
2015,BRAZIL,PONTA PORA,USINA ELDORADO,USINA ELDORADO,URUGUAY,URUGUAY,Sugarcane equivalents,3943918,136938.6
2016,BRAZIL,PONTA PORA,USINA ELDORADO,USINA ELDORADO,URUGUAY,URUGUAY,Sugarcane equivalents,6942102,187134.661062
2017,BRAZIL,PONTA PORA,USINA ELDORADO,USINA ELDORADO,URUGUAY,URUGUAY,Sugarcane equivalents,6369457,174977.1
2015,BRAZIL,PORTO MURTINHO,USINA ELDORADO,USINA ELDORADO,URUGUAY,URUGUAY,Sugarcane equivalents,1150891,45646.2
2015,BRAZIL,PORTO VELHO,USINAS ITAMARATI,USINAS ITAMARATI,PERU,PERU,Sugarcane equivalents,3092516,57058.434693
2016,BRAZIL,PORTO VELHO,USINAS ITAMARATI,USINAS ITAMARATI,PERU,PERU,Sugarcane equivalents,2878750,53254.052154
2017,BRAZIL,QUARAI,AKILA TRADING EXPORTADORA E IMPORTADORA,AKILA TRADING EXPORTADORA E IMPORTADORA,URUGUAY,URUGUAY,Sugarcane equivalents,988697,23005.6848
2017,BRAZIL,RECIFE,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,FINLAND,EUROPEAN UNION,Sugarcane equivalents,370569,7593.7474782
2017,BRAZIL,RECIFE,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,MALAYSIA,MALAYSIA,Sugarcane equivalents,3184038,56548.0341
2017,BRAZIL,RECIFE,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Sugarcane equivalents,1457869,27150.6184218
2016,BRAZIL,RECIFE,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,UNITED STATES,UNITED STATES,Sugarcane equivalents,1045660,13878.346725
2017,BRAZIL,RECIFE,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,UNITED STATES,UNITED STATES,Sugarcane equivalents,1030798,15035.934357
2017,BRAZIL,RECIFE,BIOSEV SA,LOUIS DREYFUS,MALAYSIA,MALAYSIA,Sugarcane equivalents,269448,4564.62
2017,BRAZIL,RECIFE,BIOSEV SA,LOUIS DREYFUS,UNITED STATES,UNITED STATES,Sugarcane equivalents,1155214,28148.49
2016,BRAZIL,RECIFE,COMPANHIA AGRO INDUSTRIAL DE GOIANA,COMPANHIA AGRO INDUSTRIAL DE GOIANA,ANGOLA,ANGOLA,Sugarcane equivalents,7314844,95096.25
2016,BRAZIL,RECIFE,COMPANHIA AGRO INDUSTRIAL DE GOIANA,COMPANHIA AGRO INDUSTRIAL DE GOIANA,EGYPT,EGYPT,Sugarcane equivalents,1395936,18258.48
2017,BRAZIL,RECIFE,COMPANHIA AGRO INDUSTRIAL DE GOIANA,COMPANHIA AGRO INDUSTRIAL DE GOIANA,SOUTH AFRICA,SOUTH AFRICA,Sugarcane equivalents,1952582,29289.645
2016,BRAZIL,RECIFE,COMPANHIA AGRO INDUSTRIAL DE GOIANA,COMPANHIA AGRO INDUSTRIAL DE GOIANA,UNITED STATES,UNITED STATES,Sugarcane equivalents,2355556,33040.849716
2016,BRAZIL,RECIFE,COMPANHIA ALCOOLQUIMICA NACIONAL-ALCOOLQUIMICA,COMPANHIA ALCOOLQUIMICA NACIONAL-ALCOOLQUIMICA,UNITED STATES,UNITED STATES,Sugarcane equivalents,2764294,36946.110357
2017,BRAZIL,RECIFE,COMPANHIA ALCOOLQUIMICA NACIONAL-ALCOOLQUIMICA,COMPANHIA ALCOOLQUIMICA NACIONAL-ALCOOLQUIMICA,UNITED STATES,UNITED STATES,Sugarcane equivalents,8420669,143310.429135
2017,BRAZIL,RECIFE,COMPANHIA USINA SAO JOAO,COMPANHIA USINA SAO JOAO,UNITED STATES,UNITED STATES,Sugarcane equivalents,914686,12157.408908
2017,BRAZIL,RECIFE,ENERFO SUGAR DO BRASIL LTDA.,ENERFO SUGAR DO BRASIL LTDA.,FINLAND,EUROPEAN UNION,Sugarcane equivalents,6349441,114115.5
2017,BRAZIL,RECIFE,ENERFO SUGAR DO BRASIL LTDA.,ENERFO SUGAR DO BRASIL LTDA.,MALAYSIA,MALAYSIA,Sugarcane equivalents,120049,2095.9669962
2016,BRAZIL,RECIFE,ENERFO SUGAR DO BRASIL LTDA.,ENERFO SUGAR DO BRASIL LTDA.,UNITED STATES,UNITED STATES,Sugarcane equivalents,862100,11541.945978
2017,BRAZIL,RECIFE,MIRIRI ALIMENTOS E BIOENERGIA,MIRIRI ALIMENTOS E BIOENERGIA,FINLAND,EUROPEAN UNION,Sugarcane equivalents,1857113,30252.9776202
2017,BRAZIL,RECIFE,MIRIRI ALIMENTOS E BIOENERGIA,MIRIRI ALIMENTOS E BIOENERGIA,GEORGIA,GEORGIA,Sugarcane equivalents,969815,15785.9775
2017,BRAZIL,RECIFE,MIRIRI ALIMENTOS E BIOENERGIA,MIRIRI ALIMENTOS E BIOENERGIA,MALAYSIA,MALAYSIA,Sugarcane equivalents,3985772,64886.0733
2017,BRAZIL,RECIFE,MIRIRI ALIMENTOS E BIOENERGIA,MIRIRI ALIMENTOS E BIOENERGIA,UNITED STATES,UNITED STATES,Sugarcane equivalents,917298,12999.7486674
2016,BRAZIL,RECIFE,SUCDEN DO BRASIL LTDA.,SUCDEN DO BRASIL LTDA.,ANGOLA,ANGOLA,Sugarcane equivalents,1385550,19019.25
2017,BRAZIL,RECIFE,SUCDEN DO BRASIL LTDA.,SUCDEN DO BRASIL LTDA.,FINLAND,EUROPEAN UNION,Sugarcane equivalents,576880,9473.1689016
2017,BRAZIL,RECIFE,SUCDEN DO BRASIL LTDA.,SUCDEN DO BRASIL LTDA.,MALAYSIA,MALAYSIA,Sugarcane equivalents,14822517,238254.0991038
2017,BRAZIL,RECIFE,SUCDEN DO BRASIL LTDA.,SUCDEN DO BRASIL LTDA.,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Sugarcane equivalents,5228650,86013.9190782
2017,BRAZIL,RECIFE,SUCDEN DO BRASIL LTDA.,SUCDEN DO BRASIL LTDA.,TOGO,TOGO,Sugarcane equivalents,1251225,19019.25
2016,BRAZIL,RECIFE,SUCDEN DO BRASIL LTDA.,SUCDEN DO BRASIL LTDA.,UNITED STATES,UNITED STATES,Sugarcane equivalents,3619385,58784.393592
2017,BRAZIL,RECIFE,SUCDEN DO BRASIL LTDA.,SUCDEN DO BRASIL LTDA.,UNITED STATES,UNITED STATES,Sugarcane equivalents,408834,5947.6922523
2017,BRAZIL,RECIFE,USINA BOM JESUS SA,USINA BOM JESUS SA,UNITED STATES,UNITED STATES,Sugarcane equivalents,241184,3732.185466
2016,BRAZIL,RECIFE,USINA CENTRAL OLHO D'AGUA S/A,USINA CENTRAL OLHO D'AGUA S/A,ANGOLA,ANGOLA,Sugarcane equivalents,6180605,114115.5
2017,BRAZIL,RECIFE,USINA CENTRAL OLHO D'AGUA S/A,USINA CENTRAL OLHO D'AGUA S/A,ANGOLA,ANGOLA,Sugarcane equivalents,6612914,94335.48
2017,BRAZIL,RECIFE,USINA CENTRAL OLHO D'AGUA S/A,USINA CENTRAL OLHO D'AGUA S/A,MALAYSIA,MALAYSIA,Sugarcane equivalents,4284458,76077
2017,BRAZIL,RECIFE,USINA CENTRAL OLHO D'AGUA S/A,USINA CENTRAL OLHO D'AGUA S/A,SENEGAL,SENEGAL,Sugarcane equivalents,9824445,114115.5
2017,BRAZIL,RECIFE,USINA CENTRAL OLHO D'AGUA S/A,USINA CENTRAL OLHO D'AGUA S/A,SOUTH AFRICA,SOUTH AFRICA,Sugarcane equivalents,5672372,91292.4
2016,BRAZIL,RECIFE,USINA CENTRAL OLHO D'AGUA S/A,USINA CENTRAL OLHO D'AGUA S/A,UNITED STATES,UNITED STATES,Sugarcane equivalents,5175003,68552.376084
2017,BRAZIL,RECIFE,USINA CENTRAL OLHO D'AGUA S/A,USINA CENTRAL OLHO D'AGUA S/A,UNITED STATES,UNITED STATES,Sugarcane equivalents,6441018,87976.660032
2016,BRAZIL,RECIFE,USINA IPOJUCA S/A,USINA IPOJUCA S/A,UNITED STATES,UNITED STATES,Sugarcane equivalents,2246746,29705.02542
2017,BRAZIL,RECIFE,USINA IPOJUCA S/A,USINA IPOJUCA S/A,UNITED STATES,UNITED STATES,Sugarcane equivalents,356982,5524.103124
2017,BRAZIL,RECIFE,USINA MONTE ALEGRE SA,USINA MONTE ALEGRE,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Sugarcane equivalents,1241779,22823.1
2016,BRAZIL,RECIFE,USINA MONTE ALEGRE SA,USINA MONTE ALEGRE,UNITED STATES,UNITED STATES,Sugarcane equivalents,1438352,19149.417747
2017,BRAZIL,RECIFE,USINA MONTE ALEGRE SA,USINA MONTE ALEGRE,UNITED STATES,UNITED STATES,Sugarcane equivalents,1426662,20600.053983
2016,BRAZIL,RECIFE,USINA PETRIBU SA,USINA PETRIBU SA,ANGOLA,ANGOLA,Sugarcane equivalents,8425240,152154
2017,BRAZIL,RECIFE,USINA PETRIBU SA,USINA PETRIBU SA,ANGOLA,ANGOLA,Sugarcane equivalents,4552863,63524.295
2017,BRAZIL,RECIFE,USINA PETRIBU SA,USINA PETRIBU SA,SOUTH AFRICA,SOUTH AFRICA,Sugarcane equivalents,899668,12552.705
2017,BRAZIL,RECIFE,USINA PETRIBU SA,USINA PETRIBU SA,UNITED STATES,UNITED STATES,Sugarcane equivalents,7443475,100782.701442
2017,BRAZIL,RECIFE,USINA SAO JOSE,USINA SAO JOSE,ANGOLA,ANGOLA,Sugarcane equivalents,1673220,22823.1
2016,BRAZIL,RECIFE,USINA SAO JOSE,USINA SAO JOSE,EGYPT,EGYPT,Sugarcane equivalents,13221830,213015.6
2017,BRAZIL,RECIFE,USINA SAO JOSE,USINA SAO JOSE,GHANA,GHANA,Sugarcane equivalents,2779903,40320.81
2017,BRAZIL,RECIFE,USINA SAO JOSE,USINA SAO JOSE,SENEGAL,SENEGAL,Sugarcane equivalents,6399095,92813.94
2016,BRAZIL,RECIFE,USINA SAO JOSE,USINA SAO JOSE,UNITED STATES,UNITED STATES,Sugarcane equivalents,3655931,47433.172653
2017,BRAZIL,RECIFE,USINA SAO JOSE,USINA SAO JOSE,UNITED STATES,UNITED STATES,Sugarcane equivalents,1783980,17638.300296
2017,BRAZIL,RECIFE,USINA SERRA GRANDE SA,USINA SERRA GRANDE SA,UNITED STATES,UNITED STATES,Sugarcane equivalents,275457,4486.869306
2016,BRAZIL,RECIFE,USINA TRAPICHE S/A,USINA TRAPICHE S/A,UNITED STATES,UNITED STATES,Sugarcane equivalents,4821235,63883.150209
2017,BRAZIL,RECIFE,USINA TRAPICHE S/A,USINA TRAPICHE S/A,UNITED STATES,UNITED STATES,Sugarcane equivalents,729341,11880.108243
2017,BRAZIL,RECIFE,USINA UNIAO E INDUSTRIA SA,USINA UNIAO E INDUSTRIA SA,FINLAND,EUROPEAN UNION,Sugarcane equivalents,805296,14454.63
2017,BRAZIL,RECIFE,USINA UNIAO E INDUSTRIA SA,USINA UNIAO E INDUSTRIA SA,GEORGIA,GEORGIA,Sugarcane equivalents,2539824,42603.12
2017,BRAZIL,RECIFE,USINA UNIAO E INDUSTRIA SA,USINA UNIAO E INDUSTRIA SA,MALAYSIA,MALAYSIA,Sugarcane equivalents,635757,11411.55
2016,BRAZIL,RECIFE,USINA UNIAO E INDUSTRIA SA,USINA UNIAO E INDUSTRIA SA,UNITED STATES,UNITED STATES,Sugarcane equivalents,2174192,28745.770527
2017,BRAZIL,RECIFE,USINA UNIAO E INDUSTRIA SA,USINA UNIAO E INDUSTRIA SA,UNITED STATES,UNITED STATES,Sugarcane equivalents,3643700,53439.680034
2017,BRAZIL,RECIFE,USIVALE INDUSTRIA E COMERCIO- EM RECUPERACAO JUDICIAL,USIVALE INDUSTRIA E COMERCIO- EM RECUPERACAO JUDICIAL,FINLAND,EUROPEAN UNION,Sugarcane equivalents,2105924,34234.65
2017,BRAZIL,RECIFE,USIVALE INDUSTRIA E COMERCIO- EM RECUPERACAO JUDICIAL,USIVALE INDUSTRIA E COMERCIO- EM RECUPERACAO JUDICIAL,MALAYSIA,MALAYSIA,Sugarcane equivalents,701969,11411.55
2017,BRAZIL,RECIFE,USIVALE INDUSTRIA E COMERCIO- EM RECUPERACAO JUDICIAL,USIVALE INDUSTRIA E COMERCIO- EM RECUPERACAO JUDICIAL,UNITED STATES,UNITED STATES,Sugarcane equivalents,1682975,24514.6644873
2016,BRAZIL,RECIFE,VALE VERDE EMPREENDIMENTOS AGRICOLASEM RECUPERACAO JUD,VALE VERDE EMPREENDIMENTOS AGRICOLASEM RECUPERACAO JUD,UNITED STATES,UNITED STATES,Sugarcane equivalents,1141446,15281.891298
2017,BRAZIL,RECIFE,VALE VERDE EMPREENDIMENTOS AGRICOLASEM RECUPERACAO JUD,VALE VERDE EMPREENDIMENTOS AGRICOLASEM RECUPERACAO JUD,UNITED STATES,UNITED STATES,Sugarcane equivalents,1409927,20093.533317
2016,BRAZIL,RIO DE JANEIRO,"4PL COMERCIAL, IMPORTADORA LTDA","4PL COMERCIAL, IMPORTADORA LTDA",SOUTH AFRICA,SOUTH AFRICA,Sugarcane equivalents,3783,33.47388
2017,BRAZIL,RIO DE JANEIRO,ARCOMEX COMERCIAL EXPORTADORA LTDA - EPP,ARCOMEX COMERCIAL EXPORTADORA LTDA - EPP,CAMEROON,CAMEROON,Sugarcane equivalents,5635,59.035752
2016,BRAZIL,RIO DE JANEIRO,BALAVAN COMERCIO DE PRODUTOS TEXTEIS E DE BAZAR LTDA,BALAVAN COMERCIO DE PRODUTOS TEXTEIS E DE BAZAR LTDA,UNITED STATES,UNITED STATES,Sugarcane equivalents,9,0.0304308
2016,BRAZIL,RIO DE JANEIRO,CONSTRUTORA NORBERTO ODEBRECHT,CONSTRUTORA NORBERTO ODEBRECHT,ANGOLA,ANGOLA,Sugarcane equivalents,6836,94.487634
2015,BRAZIL,RIO DE JANEIRO,DISTRIBUIDORA INTERNACIONAL DE PRODUTOS BRASILEIROS EIRELI,DISTRIBUIDORA INTERNACIONAL DE PRODUTOS BRASILEIROS EIRELI,UNITED STATES,UNITED STATES,Sugarcane equivalents,2120,23.58387
2016,BRAZIL,RIO DE JANEIRO,DISTRIBUIDORA INTERNACIONAL DE PRODUTOS BRASILEIROS EIRELI,DISTRIBUIDORA INTERNACIONAL DE PRODUTOS BRASILEIROS EIRELI,UNITED STATES,UNITED STATES,Sugarcane equivalents,1972,15.2154
2015,BRAZIL,RIO DE JANEIRO,EFX IMPORTACAO E EXPORTACAO LTDA,EFX IMPORTACAO E EXPORTACAO LTDA,UNITED STATES,UNITED STATES,Sugarcane equivalents,3156,18.729942
2016,BRAZIL,RIO DE JANEIRO,EFX IMPORTACAO E EXPORTACAO LTDA,EFX IMPORTACAO E EXPORTACAO LTDA,UNITED STATES,UNITED STATES,Sugarcane equivalents,9407,45.265815
2017,BRAZIL,RIO DE JANEIRO,EFX IMPORTACAO E EXPORTACAO LTDA,EFX IMPORTACAO E EXPORTACAO LTDA,UNITED STATES,UNITED STATES,Sugarcane equivalents,14159,45.6462
2017,BRAZIL,RIO DE JANEIRO,FENIX PRESTADORA DE SERVICOS DE ENVASE E PREPARO DE ALIMENTO,FENIX PRESTADORA DE SERVICOS DE ENVASE E PREPARO DE ALIMENTO,SLOVENIA,EUROPEAN UNION,Sugarcane equivalents,16844,110.235573
2017,BRAZIL,RIO DE JANEIRO,GOLD TRADE 01 IMPORTACAO E EXPORTACAO,GOLD TRADE 01 IMPORTACAO E EXPORTACAO,ANGOLA,ANGOLA,Sugarcane equivalents,6826,35.299728
2015,BRAZIL,RIO DE JANEIRO,KRISKAN TRADING,KRISKAN TRADING,ANGOLA,ANGOLA,Sugarcane equivalents,3609,6.6415221
2016,BRAZIL,RIO DE JANEIRO,KRISKAN TRADING,KRISKAN TRADING,ANGOLA,ANGOLA,Sugarcane equivalents,34918,61.2724158
2017,BRAZIL,RIO DE JANEIRO,KRISKAN TRADING,KRISKAN TRADING,ANGOLA,ANGOLA,Sugarcane equivalents,24243,42.298812
2015,BRAZIL,RIO DE JANEIRO,ODEBRECHT SERVICOS DE EXPORTACAO S.A,ODEBRECHT SERVICOS DE EXPORTACAO S.A,ANGOLA,ANGOLA,Sugarcane equivalents,2732,15.2230077
2017,BRAZIL,RIO DE JANEIRO,ODEBRECHT SERVICOS DE EXPORTACAO S.A,ODEBRECHT SERVICOS DE EXPORTACAO S.A,ANGOLA,ANGOLA,Sugarcane equivalents,84,0.23929365
2015,BRAZIL,RIO DE JANEIRO,QUISSAMA INDUSTRIA DE ALIMENTOS LTDA - ME,QUISSAMA INDUSTRIA DE ALIMENTOS LTDA - ME,SLOVENIA,EUROPEAN UNION,Sugarcane equivalents,23040,110.0986344
2015,BRAZIL,RIO DE JANEIRO,RITANO COMERCIO E REPRESENTACOES LTDA - ME,RITANO COMERCIO E REPRESENTACOES LTDA - ME,ANGOLA,ANGOLA,Sugarcane equivalents,63,0.0380385
2017,BRAZIL,RIO DE JANEIRO,TRADEBRAS COMERCIO IMPORTACAO E EXPORTACAO,TRADEBRAS COMERCIO IMPORTACAO E EXPORTACAO,GABON,GABON,Sugarcane equivalents,1278,8.2543545
2016,BRAZIL,RIO DE JANEIRO,TRADEBRAS COMERCIO IMPORTACAO E EXPORTACAO,TRADEBRAS COMERCIO IMPORTACAO E EXPORTACAO,PORTUGAL,EUROPEAN UNION,Sugarcane equivalents,612,0.128
2017,BRAZIL,RIO DE JANEIRO,TRADEBRAS COMERCIO IMPORTACAO E EXPORTACAO,TRADEBRAS COMERCIO IMPORTACAO E EXPORTACAO,SOUTH AFRICA,SOUTH AFRICA,Sugarcane equivalents,8616,58.046751
2017,BRAZIL,RIO DE JANEIRO,USINA TRAPICHE S/A,USINA TRAPICHE S/A,CAPE VERDE,CAPE VERDE,Sugarcane equivalents,54405,1027.0395
2015,BRAZIL,RIO GRANDE,CAMIL ALIMENTOS,CAMIL ALIMENTOS,ANGOLA,ANGOLA,Sugarcane equivalents,6462,46.559124
2015,BRAZIL,RIO GRANDE,CAMIL ALIMENTOS,CAMIL ALIMENTOS,PORTUGAL,EUROPEAN UNION,Sugarcane equivalents,1911,22.8231
2015,BRAZIL,RIO GRANDE,CAMIL ALIMENTOS,CAMIL ALIMENTOS,UNITED STATES,UNITED STATES,Sugarcane equivalents,25,0.380385
2016,BRAZIL,RIO GRANDE,COOPERATIVA DOS TRABALHADORES DA REFORMA AGRARIA TERRA LIVRE,COOPERATIVA DOS TRABALHADORES DA REFORMA AGRARIA TERRA LIVRE,VENEZUELA,VENEZUELA,Sugarcane equivalents,166443,1027.0395
2016,BRAZIL,RIO GRANDE,VA&E TRADING DO BRASIL LTDA,VA&E TRADING DO BRASIL LTDA,COLOMBIA,COLOMBIA,Sugarcane equivalents,905040,12735.2898
2016,BRAZIL,SALVADOR,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,HAITI,HAITI,Sugarcane equivalents,220792,3956.004
2017,BRAZIL,SALVADOR,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,HAITI,HAITI,Sugarcane equivalents,448834,8901.009
