YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,TYPE,FOB_USD,SOY_EQUIVALENT_TONNES
2014,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,GLOBAL TRADE Y LOGISTIC SAC,GLOBAL TRADE Y LOGISTIC SAC,CAMEROON,Soy bean equivalents,72000,146.88
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,IMISER SAC,IMISER SAC,CAMEROON,Soy bean equivalents,2244045.5,4978.11
2014,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,IMISER SAC,IMISER SAC,CAMEROON,Soy bean equivalents,41467.5,87.21
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,INVERSIONES HEREIN SAC,INVERSIONES HEREIN SAC,CAMEROON,Soy bean equivalents,246573,562.02
2014,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,INVERSIONES HEREIN SAC,INVERSIONES HEREIN SAC,CAMEROON,Soy bean equivalents,302069,621.18
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,INVERSIONES ROLCAS S A C,INVERSIONES ROLCAS S A C,CAMEROON,Soy bean equivalents,13108,29.58
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,INVERSIONES YAZMIL S R L,INVERSIONES YAZMIL S R L,CAMEROON,Soy bean equivalents,229829,511.02
2014,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,INVERSIONES YAZMIL S R L,INVERSIONES YAZMIL S R L,CAMEROON,Soy bean equivalents,57570,116.28
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,JULI SAGUA GLORIA,JULI SAGUA GLORIA,CAMEROON,Soy bean equivalents,28050,61.2
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,LIMAFER Y CIA SRL,LIMAFER Y CIA SRL,CAMEROON,Soy bean equivalents,562223,1242.36
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,MAXIMILIAN INVERSIONES SA,MAXIMILIAN INVERSIONES SA,CAMEROON,Soy bean equivalents,1668657.7,3431.178
2014,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,MAXIMILIAN INVERSIONES SA,MAXIMILIAN INVERSIONES SA,CAMEROON,Soy bean equivalents,244180,502.86
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,MOLINORTE SAC,MOLINORTE SAC,CAMEROON,Soy bean equivalents,2482890,5538.09
2014,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,MOLINORTE SAC,MOLINORTE SAC,CAMEROON,Soy bean equivalents,719925,1479
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,NOR ALIMENTOS SRL,NOR ALIMENTOS SRL,CAMEROON,Soy bean equivalents,463186,1047.54
2014,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,NOR ALIMENTOS SRL,NOR ALIMENTOS SRL,CAMEROON,Soy bean equivalents,175000,357
2014,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,NUTRICION GONZALES SAC,NUTRICION GONZALES SAC,CAMEROON,Soy bean equivalents,201372.5,412.59
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,PERUVIAN SOYBEAN COMPANY S A C,PERUVIAN SOYBEAN COMPANY S A C,CAMEROON,Soy bean equivalents,609907,1389.75
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,REPRESENTACIONES MORAVI SAC,REPRESENTACIONES MORAVI SAC,CAMEROON,Soy bean equivalents,280575,621.18
2014,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,REPRESENTACIONES MORAVI SAC,REPRESENTACIONES MORAVI SAC,CAMEROON,Soy bean equivalents,122380,266.22
