YEAR,COUNTRY OF PRODUCTION,DEPARTMENT,MUNICIPALITY OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COFFEE_EQUIVALENT_TONNES,COFFEE_BEAN,TRASE_GEOCODE
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,INTER AMERICAN COFFEE INC,INTER AMERICAN COFFEE INC,IRELAND,EUROPEAN UNION,Coffee equivalents,58299.5998800147,16.5278269186911,Green,CO-15
2014,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,INTER AMERICAN COFFEE INC,INTER AMERICAN COFFEE INC,ISRAEL,ISRAEL,Coffee equivalents,9506.89435839957,2.13327200586752,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,INTER AMERICAN COFFEE INC,INTER AMERICAN COFFEE INC,ISRAEL,ISRAEL,Coffee equivalents,42282.1103245503,10.040367875329,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,INTER AMERICAN COFFEE INC,INTER AMERICAN COFFEE INC,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,74655.3397994526,21.3578757118683,Green,CO-15
2014,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,INTER AMERICAN COFFEE INC,INTER AMERICAN COFFEE INC,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,16549.5650340232,4.26532379479029,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,INTER AMERICAN COFFEE INC,INTER AMERICAN COFFEE INC,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,61137.214823239,18.0365814957923,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,INTER AMERICAN COFFEE INC,INTER AMERICAN COFFEE INC,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,99392.1618134777,28.9169200575423,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,INTER AMERICAN COFFEE INC,INTER AMERICAN COFFEE INC,UNITED STATES,UNITED STATES,Coffee equivalents,28545.0536333719,8.26025600369979,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,INTL COFFEE,INTL COFFEE,AUSTRALIA,AUSTRALIA,Coffee equivalents,25754.8128356137,7.13065431557161,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,INTL COFFEE,INTL COFFEE,UNITED STATES,UNITED STATES,Coffee equivalents,9450.47960872156,2.37820215291407,Green,CO-15
2014,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,INTL COFFEE,INTL COFFEE,UNITED STATES,UNITED STATES,Coffee equivalents,10091.0698928356,2.12550698894637,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,IONIC INTERTRADE RESOURCES CO LTD,IONIC INTERTRADE RESOURCES CO LTD,THAILAND,THAILAND,Coffee equivalents,2167.11131633035,0.302277951898687,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,JEM IMPORT AND MARKETING LTD,JEM IMPORT AND MARKETING LTD,ISRAEL,ISRAEL,Coffee equivalents,12963.8386276912,4.15573019137014,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,JJ DARBOVEN GMBH AND CO KG,JJ DARBOVEN GMBH AND CO KG,GERMANY,EUROPEAN UNION,Coffee equivalents,8952.53056498539,2.59482900045309,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,J TH DOUQUES KOFFIE BV,J TH DOUQUES KOFFIE BV,BELGIUM,EUROPEAN UNION,Coffee equivalents,14097.2373343806,4.00906882232364,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,KAFFEE,KAFFEE,GREECE,EUROPEAN UNION,Coffee equivalents,5782.66495874207,2.00228980868584,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,KAFFEHUSET FRIELE AS,KAFFEHUSET FRIELE AS,NORWAY,NORWAY,Coffee equivalents,36556.3362923422,10.3799335241828,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,KENCAF IMP AND DISTRIB INC,KENCAF IMP AND DISTRIB INC,CANADA,CANADA,Coffee equivalents,85555.015966868,26.1467616943799,Green,CO-15
2014,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,KENCAF IMP AND DISTRIB INC,KENCAF IMP AND DISTRIB INC,CANADA,CANADA,Coffee equivalents,243343.332740762,61.8521313566448,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,KENCAF IMP AND DISTRIB INC,KENCAF IMP AND DISTRIB INC,CANADA,CANADA,Coffee equivalents,145783.527370894,34.0437291529568,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,KENCAF IMP AND DISTRIB INC,KENCAF IMP AND DISTRIB INC,UNITED STATES,UNITED STATES,Coffee equivalents,80290.0399974879,23.7755992964885,Green,CO-15
2014,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,KENCAF IMP AND DISTRIB INC,KENCAF IMP AND DISTRIB INC,UNITED STATES,UNITED STATES,Coffee equivalents,34813.4716460007,12.7862096488128,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,KENCAF IMP AND DISTRIB INC,KENCAF IMP AND DISTRIB INC,UNITED STATES,UNITED STATES,Coffee equivalents,8401.50217552903,2.00573501248618,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,KENCAF IMPORTING Y DISTRIBUTING INC,KENCAF IMPORTING Y DISTRIBUTING INC,CANADA,CANADA,Coffee equivalents,9121.32530955153,2.00844941548038,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,KEN GABBAY COFFEE LTD,KEN GABBAY COFFEE LTD,CANADA,CANADA,Coffee equivalents,9574.92148176137,2.36301110260204,Green,CO-15
2014,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,KEN GABBAY COFFEE LTD,KEN GABBAY COFFEE LTD,CANADA,CANADA,Coffee equivalents,35900.0437752355,8.52831808450423,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,KEN GABBAY COFFEE LTD,KEN GABBAY COFFEE LTD,ISRAEL,ISRAEL,Coffee equivalents,8605.25821467345,2.38005472002529,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,KJELDSBERG KAFFEBRENNERI AS,KJELDSBERG KAFFEBRENNERI AS,NORWAY,NORWAY,Coffee equivalents,8678.54145312551,2.00844941548038,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,KJELDSBERG KAFFEBRENNERI AS,KJELDSBERG KAFFEBRENNERI AS,NORWAY,NORWAY,Coffee equivalents,33057.4588993155,9.03305486720163,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,KONINKLIJKE DOUWE EGBERTS BV,KONINKLIJKE DOUWE EGBERTS BV,BELGIUM,EUROPEAN UNION,Coffee equivalents,62149.2183835599,18.0907651555612,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,KONINKLIJKE DOUWE EGBERTS BV,KONINKLIJKE DOUWE EGBERTS BV,NORWAY,NORWAY,Coffee equivalents,16589.6056474368,4.50598535556307,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,LA TORRE AND DUTCH COFFEE TRADERS PTY LTD,LA TORRE AND DUTCH COFFEE TRADERS PTY LTD,AUSTRALIA,AUSTRALIA,Coffee equivalents,13154.6911706767,3.01852052966963,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,LA TORRE AND DUTCH COFFEE TRADERS PTY LTD,LA TORRE AND DUTCH COFFEE TRADERS PTY LTD,AUSTRALIA,AUSTRALIA,Coffee equivalents,16613.6824628083,3.8480736282277,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,LIVINGSTON INTL,LIVINGSTON INTL,CANADA,CANADA,Coffee equivalents,6568.51385759627,2.01314742066266,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,LUIGI LAVAZZA SPA,LUIGI LAVAZZA SPA,FRANCE,EUROPEAN UNION,Coffee equivalents,14016.308064312,4.51545171135206,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,LUIGI LAVAZZA SPA,LUIGI LAVAZZA SPA,ITALY,EUROPEAN UNION,Coffee equivalents,72779.2067995301,19.6705575869664,Green,CO-15
2014,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,LUIGI LAVAZZA SPA,LUIGI LAVAZZA SPA,ITALY,EUROPEAN UNION,Coffee equivalents,21019.4349045506,6.62566708119501,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,LUIGI LAVAZZA SPA,LUIGI LAVAZZA SPA,ITALY,EUROPEAN UNION,Coffee equivalents,55234.6014401842,10.378728648568,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,LUIGI LAVAZZA SPA,LUIGI LAVAZZA SPA,ITALY,EUROPEAN UNION,Coffee equivalents,465240.679461941,137.16018047129,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,MEINL CAPITAL ADVISORS,MEINL CAPITAL ADVISORS,ITALY,EUROPEAN UNION,Coffee equivalents,13526.8695012423,4.51157911125657,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,MERCON COFFEE CORP,MERCON COFFEE CORP,UNITED STATES,UNITED STATES,Coffee equivalents,8551.26329364974,2.38697097057386,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,MERCON COFFEE CORP,MERCON COFFEE CORP,UNITED STATES,UNITED STATES,Coffee equivalents,30382.1806955648,8.27703727078028,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,METRO CANADA LOGISTICS INC,METRO CANADA LOGISTICS INC,CANADA,CANADA,Coffee equivalents,419247.548646295,131.974338654518,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,MITSUBISHI CORPORATION DO BRASIL,MITSUBISHI CORPORATION DO BRASIL,UNITED STATES,UNITED STATES,Coffee equivalents,22862.9432245471,7.1273196947714,Green,CO-15
2014,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,MITSUBISHI CORPORATION DO BRASIL,MITSUBISHI CORPORATION DO BRASIL,UNITED STATES,UNITED STATES,Coffee equivalents,60280.516336142,17.0434356402425,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,MITSUI FOODS INC,MITSUI FOODS INC,UNITED STATES,UNITED STATES,Coffee equivalents,110066.356116355,27.8285221179482,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,MITSUI FOODS INC,MITSUI FOODS INC,UNITED STATES,UNITED STATES,Coffee equivalents,29899.9392900251,2.01617502400235,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,MITSUI FOODS INC,MITSUI FOODS INC,UNITED STATES,UNITED STATES,Coffee equivalents,52748.3782442314,16.5521382415128,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,MTL TRANSPORT Y DISTRIB,MTL TRANSPORT Y DISTRIB,CANADA,CANADA,Coffee equivalents,37977.2380294162,12.3637060937807,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,MUELLER WESER GMBH AND CO KG,MUELLER WESER GMBH AND CO KG,GERMANY,EUROPEAN UNION,Coffee equivalents,18849.8975276788,5.18200072351312,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,NAF TRADING AS,NAF TRADING AS,DENMARK,EUROPEAN UNION,Coffee equivalents,63244.2544874723,19.4004646002645,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,NAF TRADING AS,NAF TRADING AS,DENMARK,EUROPEAN UNION,Coffee equivalents,45643.8717702549,13.0562560775258,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,NAF TRADING AS,NAF TRADING AS,GERMANY,EUROPEAN UNION,Coffee equivalents,14187.2188151934,4.12517967950565,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,NAF TRADING AS,NAF TRADING AS,NORWAY,NORWAY,Coffee equivalents,309020.822067079,103.721784657803,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,NESTLE BRASIL LTDA,NESTLE BRASIL LTDA,BELGIUM,EUROPEAN UNION,Coffee equivalents,713677.53825638,166.128708689979,Green,CO-15
2014,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,NESTLE BRASIL LTDA,NESTLE BRASIL LTDA,BELGIUM,EUROPEAN UNION,Coffee equivalents,3129289.92765658,571.149274835559,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,NESTLE BRASIL LTDA,NESTLE BRASIL LTDA,BELGIUM,EUROPEAN UNION,Coffee equivalents,2637396.06194685,507.524664640308,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,NESTLE BRASIL LTDA,NESTLE BRASIL LTDA,BELGIUM,EUROPEAN UNION,Coffee equivalents,3822489.90670703,934.148164747417,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,NESTLE BRASIL LTDA,NESTLE BRASIL LTDA,FINLAND,EUROPEAN UNION,Coffee equivalents,39350.7954546112,10.3777104436493,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,NESTLE BRASIL LTDA,NESTLE BRASIL LTDA,SWEDEN,EUROPEAN UNION,Coffee equivalents,43062.1483129946,10.9122132370442,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,NESTLE BRASIL LTDA,NESTLE BRASIL LTDA,SWEDEN,EUROPEAN UNION,Coffee equivalents,51301.8631421156,13.5687301568302,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,N J DOUEK AND SONS INC,N J DOUEK AND SONS INC,CANADA,CANADA,Coffee equivalents,61135.8731423276,18.9816496305395,Green,CO-15
2014,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,N J DOUEK AND SONS INC,N J DOUEK AND SONS INC,CANADA,CANADA,Coffee equivalents,137107.584879742,38.3576305871201,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,N J DOUEK AND SONS INC,N J DOUEK AND SONS INC,CANADA,CANADA,Coffee equivalents,296456.75732752,66.1432149612576,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,N J DOUEK AND SONS INC,N J DOUEK AND SONS INC,CANADA,CANADA,Coffee equivalents,40707.0531997341,12.3992049279894,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,N J DOUEK AND SONS INC,N J DOUEK AND SONS INC,UNITED STATES,UNITED STATES,Coffee equivalents,13671.3462841268,4.73380298707122,Green,CO-15
2014,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,N J DOUEK AND SONS INC,N J DOUEK AND SONS INC,UNITED STATES,UNITED STATES,Coffee equivalents,12052.1715063748,4.25434184228751,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,NKG BERO ITALIA SPA,NKG BERO ITALIA SPA,ITALY,EUROPEAN UNION,Coffee equivalents,49534.1745401573,14.6815793949566,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,NKG BERO ITALIA SPA,NKG BERO ITALIA SPA,ITALY,EUROPEAN UNION,Coffee equivalents,182785.289494082,55.5728870926622,Green,CO-15
2013,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,N V COFFEETEAM SA,N V COFFEETEAM SA,BELGIUM,EUROPEAN UNION,Coffee equivalents,70109.1191127507,19.7205768989694,Green,CO-15
2014,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,N V COFFEETEAM SA,N V COFFEETEAM SA,BELGIUM,EUROPEAN UNION,Coffee equivalents,131884.177799999,29.0554731020162,Green,CO-15
2015,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,N V COFFEETEAM SA,N V COFFEETEAM SA,BELGIUM,EUROPEAN UNION,Coffee equivalents,120468.835918764,38.0662655901363,Green,CO-15
2016,COLOMBIA,BOYACA,CARTAGENA DE INDIAS,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D,N V COFFEETEAM SA,N V COFFEETEAM SA,BELGIUM,EUROPEAN UNION,Coffee equivalents,270357.682017415,77.5832400243314,Green,CO-15
