YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COFFEE_EQUIVALENT_TONNES
2018,PERU,PAITA,CAJAMARCA COFFEE EXPORT S A C,CAJAMARCA COFFEE EXPORT S A C,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,64338.92,11.385
2018,PERU,PAITA,CAJAMARCA COFFEE EXPORT S A C,CAJAMARCA COFFEE EXPORT S A C,UNITED STATES,UNITED STATES,Coffee equivalents,64964.6,18.975
2018,PERU,PAITA,CARAVELA PERU S A C,CARAVELA PERU S A C,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,9522.57,0.897
2016,PERU,PAITA,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,AUSTRALIA,AUSTRALIA,Coffee equivalents,123405.26,37.95
2013,PERU,PAITA,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CANADA,CANADA,Coffee equivalents,160483.86,34.5
2015,PERU,PAITA,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CANADA,CANADA,Coffee equivalents,92031.04,18.975
2016,PERU,PAITA,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CANADA,CANADA,Coffee equivalents,238653.21,56.9
2017,PERU,PAITA,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CANADA,CANADA,Coffee equivalents,392805.18,113.85
2018,PERU,PAITA,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CANADA,CANADA,Coffee equivalents,58565.2,18.975
2013,PERU,PAITA,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,UNITED STATES,UNITED STATES,Coffee equivalents,886844.52,208.725
2014,PERU,PAITA,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,UNITED STATES,UNITED STATES,Coffee equivalents,1683937.86,322.575
2015,PERU,PAITA,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,UNITED STATES,UNITED STATES,Coffee equivalents,836227.12,189.75
2016,PERU,PAITA,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,UNITED STATES,UNITED STATES,Coffee equivalents,970307.53,239.77481
2017,PERU,PAITA,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,UNITED STATES,UNITED STATES,Coffee equivalents,641066.15,190.095
2018,PERU,PAITA,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,CENTRAL DE CAFETALEROS DEL NOR ORIENTE,UNITED STATES,UNITED STATES,Coffee equivalents,538381.8,170.775
2016,PERU,PAITA,CENTRAL DE COOPERATIVAS AGRARIAS CAFETAL,CENTRAL DE COOPERATIVAS AGRARIAS CAFETAL,GERMANY,EUROPEAN UNION,Coffee equivalents,173413.84,41.4
2013,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,AUSTRALIA,AUSTRALIA,Coffee equivalents,83663.25,18.975
2014,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,AUSTRALIA,AUSTRALIA,Coffee equivalents,118199.63,18.975
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,AUSTRALIA,AUSTRALIA,Coffee equivalents,88559.63,18.975
2013,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,BELGIUM,EUROPEAN UNION,Coffee equivalents,317162.25,98.325
2014,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,BELGIUM,EUROPEAN UNION,Coffee equivalents,946466.03,195.15
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,BELGIUM,EUROPEAN UNION,Coffee equivalents,2987154.4,809.29
2016,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,BELGIUM,EUROPEAN UNION,Coffee equivalents,5713769.13,1646.33
2017,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,BELGIUM,EUROPEAN UNION,Coffee equivalents,3097625.41,1161.525
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,BELGIUM,EUROPEAN UNION,Coffee equivalents,5629683.3,2046.885
2013,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,CANADA,CANADA,Coffee equivalents,1881173.01,455.4
2014,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,CANADA,CANADA,Coffee equivalents,4162423.5,829.725
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,CANADA,CANADA,Coffee equivalents,4034072.05,984.975
2016,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,CANADA,CANADA,Coffee equivalents,4003336.1,1053.975
2017,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,CANADA,CANADA,Coffee equivalents,2478143.28,777.975000000001
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,CANADA,CANADA,Coffee equivalents,3708691.2,1231.305
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,CHILE,CHILE,Coffee equivalents,16732.95,3.45
2016,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,CHINA (MAINLAND),CHINA (MAINLAND),Coffee equivalents,26924.62,7.245
2013,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,DENMARK,EUROPEAN UNION,Coffee equivalents,116109,41.4
2014,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,FRANCE,EUROPEAN UNION,Coffee equivalents,164133.38,38.64
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,FRANCE,EUROPEAN UNION,Coffee equivalents,66973.5,18.975
2017,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,FRANCE,EUROPEAN UNION,Coffee equivalents,71115,18.975
2013,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,GERMANY,EUROPEAN UNION,Coffee equivalents,4688664,1371.215
2014,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,GERMANY,EUROPEAN UNION,Coffee equivalents,6417141.01,1414.21
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,GERMANY,EUROPEAN UNION,Coffee equivalents,2864955.09,801.187
2016,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,GERMANY,EUROPEAN UNION,Coffee equivalents,4661246.21,1271.696
2017,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,GERMANY,EUROPEAN UNION,Coffee equivalents,2904024.13,1043.514
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,GERMANY,EUROPEAN UNION,Coffee equivalents,3607603.2,1311.206
2017,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,GREECE,EUROPEAN UNION,Coffee equivalents,61023.71,18.975
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,IRELAND,EUROPEAN UNION,Coffee equivalents,58920.4,18.975
2014,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,ITALY,EUROPEAN UNION,Coffee equivalents,76560,18.975
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,ITALY,EUROPEAN UNION,Coffee equivalents,182987.09,58.995
2017,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,ITALY,EUROPEAN UNION,Coffee equivalents,116014.94,39.33
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,ITALY,EUROPEAN UNION,Coffee equivalents,106458,37.95
2013,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,JAPAN,JAPAN,Coffee equivalents,1078772.27,361.077
2014,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,JAPAN,JAPAN,Coffee equivalents,1260016.65,256.956
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,JAPAN,JAPAN,Coffee equivalents,851389.14,232.875
2016,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,JAPAN,JAPAN,Coffee equivalents,959575.88,251.505
2017,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,JAPAN,JAPAN,Coffee equivalents,845036.11,274.482
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,JAPAN,JAPAN,Coffee equivalents,715246.47,240.327
2013,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,MEXICO,MEXICO,Coffee equivalents,239886.6,57.27
2014,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,MEXICO,MEXICO,Coffee equivalents,270082.5,51.75
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,MEXICO,MEXICO,Coffee equivalents,638553.49,156.975
2016,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,MEXICO,MEXICO,Coffee equivalents,332059.13,87.885
2017,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,MEXICO,MEXICO,Coffee equivalents,336378.75,120.75
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,MEXICO,MEXICO,Coffee equivalents,717337.6,240.35
2013,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,1244862.75,453.425
2014,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,856458.38,181.601
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,464380.09,123.895
2016,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,2028124.17,643.913
2017,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,1257261.6,428.56
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,1095767.3,403.995
2013,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,NEW ZEALAND,NEW ZEALAND,Coffee equivalents,127169,30.36
2014,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,NEW ZEALAND,NEW ZEALAND,Coffee equivalents,311555.4,60.72
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,NEW ZEALAND,NEW ZEALAND,Coffee equivalents,203835,48.3
2016,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,NEW ZEALAND,NEW ZEALAND,Coffee equivalents,451582.89,104.535
2017,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,NEW ZEALAND,NEW ZEALAND,Coffee equivalents,272529,80.04
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,NEW ZEALAND,NEW ZEALAND,Coffee equivalents,360713.4,115.92
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,NORTH KOREA,NORTH KOREA,Coffee equivalents,61038.4,19.665
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,POLAND,EUROPEAN UNION,Coffee equivalents,50617.9,18.975
2016,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,49133.62,9.51
2013,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,SPAIN,EUROPEAN UNION,Coffee equivalents,99464.11,32.775
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,SPAIN,EUROPEAN UNION,Coffee equivalents,16732.95,3.45
2016,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,SPAIN,EUROPEAN UNION,Coffee equivalents,285462.98,95.565
2017,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,SPAIN,EUROPEAN UNION,Coffee equivalents,103548.98,36.225
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,SPAIN,EUROPEAN UNION,Coffee equivalents,117963.45,36.225
2013,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,SWEDEN,EUROPEAN UNION,Coffee equivalents,2012340,598.555
2014,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,SWEDEN,EUROPEAN UNION,Coffee equivalents,4910242.55,1055.395
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,SWEDEN,EUROPEAN UNION,Coffee equivalents,2799487.24,665.974
2016,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,SWEDEN,EUROPEAN UNION,Coffee equivalents,4201820.55,1164.352
2017,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,SWEDEN,EUROPEAN UNION,Coffee equivalents,6192698.99,2156.102
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,SWEDEN,EUROPEAN UNION,Coffee equivalents,7940439.4,2866.486
2016,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Coffee equivalents,82722.75,18.975
2013,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,2333384.64,645.15
2014,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,2012728.65,441.945
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,3195867.96,830.37
2016,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,2318084.31,574.425
2017,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,3370492.69,1124.295
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,4212537.5,1459.569
2013,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,UNITED STATES,UNITED STATES,Coffee equivalents,5730930.45,1523.175
2014,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,UNITED STATES,UNITED STATES,Coffee equivalents,7784804.14,1488.675
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,UNITED STATES,UNITED STATES,Coffee equivalents,9720619.60999999,2406.733
2016,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,UNITED STATES,UNITED STATES,Coffee equivalents,12272351.58,3003.018
2017,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,UNITED STATES,UNITED STATES,Coffee equivalents,9322587.72,3038.415
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,CENTRAL FRONTERIZA NORTE CAFETALEROS,UNITED STATES,UNITED STATES,Coffee equivalents,9585870.69,3236.859
2016,PERU,PAITA,CENTRO EMPRESARIAL SOSTENIBLE DE CAFETAL,CENTRO EMPRESARIAL SOSTENIBLE DE CAFETAL,UNITED STATES,UNITED STATES,Coffee equivalents,215898.38,56.925
2013,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,BELGIUM,EUROPEAN UNION,Coffee equivalents,4000888.5,1462.863
2014,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,BELGIUM,EUROPEAN UNION,Coffee equivalents,9133818.75,2137.761
2015,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,BELGIUM,EUROPEAN UNION,Coffee equivalents,57645,20.583
2016,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,BELGIUM,EUROPEAN UNION,Coffee equivalents,3419021.25,1118.241
2017,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,BELGIUM,EUROPEAN UNION,Coffee equivalents,1478750.62,550.275
2018,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,BELGIUM,EUROPEAN UNION,Coffee equivalents,2143207,890.245
2013,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,BULGARIA,EUROPEAN UNION,Coffee equivalents,1019205,369.994
2015,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,CANADA,CANADA,Coffee equivalents,1062063.76,322.575
2017,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,CANADA,CANADA,Coffee equivalents,2808629.99,967.725
2018,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,CANADA,CANADA,Coffee equivalents,1948937.6,796.95
2013,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,COLOMBIA,COLOMBIA,Coffee equivalents,354770.41,151.8
2014,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,DENMARK,EUROPEAN UNION,Coffee equivalents,95490,20.613
2015,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Coffee equivalents,291018.75,189.75
2017,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Coffee equivalents,2143912.5,786.6
2018,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Coffee equivalents,812678,393.3
2016,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,ESTONIA,EUROPEAN UNION,Coffee equivalents,57543.75,18.975
2013,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,FRANCE,EUROPEAN UNION,Coffee equivalents,1546483.12,580.386
2014,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,FRANCE,EUROPEAN UNION,Coffee equivalents,922061.25,208.725
2015,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,FRANCE,EUROPEAN UNION,Coffee equivalents,2871030,1008.025
2016,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,FRANCE,EUROPEAN UNION,Coffee equivalents,2058375.01,702.729
2017,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,FRANCE,EUROPEAN UNION,Coffee equivalents,2000294.99,796.95
2018,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,FRANCE,EUROPEAN UNION,Coffee equivalents,3903869.1,1687.825
2013,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,GERMANY,EUROPEAN UNION,Coffee equivalents,10861761.88,4226.181
2014,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,GERMANY,EUROPEAN UNION,Coffee equivalents,13082398.5,3067.117
2015,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,GERMANY,EUROPEAN UNION,Coffee equivalents,11138921.25,3926.467
2016,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,GERMANY,EUROPEAN UNION,Coffee equivalents,15012640.5,5105.143
2017,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,GERMANY,EUROPEAN UNION,Coffee equivalents,4712159.62,1755.683
2018,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,GERMANY,EUROPEAN UNION,Coffee equivalents,11551733.6,4682.419
2014,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,GREECE,EUROPEAN UNION,Coffee equivalents,772942.5,184.907
2017,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,GREECE,EUROPEAN UNION,Coffee equivalents,427545,164.604
2018,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,GREECE,EUROPEAN UNION,Coffee equivalents,1272285,535.098
2016,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,INDIA,INDIA,Coffee equivalents,197028,143.52
2013,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,ITALY,EUROPEAN UNION,Coffee equivalents,50201.25,18.975
2014,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,ITALY,EUROPEAN UNION,Coffee equivalents,361093.13,78.976
2015,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,ITALY,EUROPEAN UNION,Coffee equivalents,341697.37,118.898
2016,PERU,PAITA,CIA.INTERNACIONAL DEL CAFE S.A.C.,CIA.INTERNACIONAL DEL CAFE S.A.C.,ITALY,EUROPEAN UNION,Coffee equivalents,1028821.5,314.64
