YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COFFEE_EQUIVALENT_TONNES
2013,PERU,PUERTO DEL CALLAO,MAREMI S A C,MAREMI S A C,SWITZERLAND,SWITZERLAND,Coffee equivalents,73.06,0.0158875
2014,PERU,PUERTO DEL CALLAO,MAREMI S A C,MAREMI S A C,SWITZERLAND,SWITZERLAND,Coffee equivalents,25.2,0.00645
2015,PERU,PUERTO DEL CALLAO,MAREMI S A C,MAREMI S A C,SWITZERLAND,SWITZERLAND,Coffee equivalents,119.72,0.010875
2016,PERU,PUERTO DEL CALLAO,MAREMI S A C,MAREMI S A C,SWITZERLAND,SWITZERLAND,Coffee equivalents,256.44,0.0544
2017,PERU,PUERTO DEL CALLAO,MAREMI S A C,MAREMI S A C,SWITZERLAND,SWITZERLAND,Coffee equivalents,63.96,0.0213
2018,PERU,PUERTO DEL CALLAO,MAYLLE COFFEE SOCIEDAD COMERCIAL DE RESP,MAYLLE COFFEE SOCIEDAD COMERCIAL DE RESP,DENMARK,EUROPEAN UNION,Coffee equivalents,51167.4,6.7775
2017,PERU,PUERTO DEL CALLAO,MCMC PERU S A C,MCMC PERU S A C,CHILE,CHILE,Coffee equivalents,875.1,0.100225
2016,PERU,PUERTO DEL CALLAO,MEDINA MALPARTIDA MARILU,MEDINA MALPARTIDA MARILU,VIETNAM,VIETNAM,Coffee equivalents,6,0.003575
2014,PERU,PUERTO DEL CALLAO,MEGABUSINESS PERU S.A.C.,MEGABUSINESS PERU S.A.C.,UNITED STATES,UNITED STATES,Coffee equivalents,9685.38,1.4721375
2015,PERU,PUERTO DEL CALLAO,MEGABUSINESS PERU S.A.C.,MEGABUSINESS PERU S.A.C.,UNITED STATES,UNITED STATES,Coffee equivalents,2898.72,0.294
2018,PERU,PUERTO DEL CALLAO,MEMEX SOCIEDAD ANONIMA CERRADA,MEMEX SOCIEDAD ANONIMA CERRADA,UNITED STATES,UNITED STATES,Coffee equivalents,4815.96,1
2013,PERU,PUERTO DEL CALLAO,MERCATO LATINO AMERICANO ESPIGA INCA FOO,MERCATO LATINO AMERICANO ESPIGA INCA FOO,ITALY,EUROPEAN UNION,Coffee equivalents,860,0.255425
2013,PERU,PUERTO DEL CALLAO,MIKEL COFFEE S A C,MIKEL COFFEE S A C,CHILE,CHILE,Coffee equivalents,17886.54,2.371
2014,PERU,PUERTO DEL CALLAO,MIKEL COFFEE S A C,MIKEL COFFEE S A C,CHILE,CHILE,Coffee equivalents,14000,2
2015,PERU,PUERTO DEL CALLAO,MIKEL COFFEE S A C,MIKEL COFFEE S A C,CHILE,CHILE,Coffee equivalents,7500,1
2017,PERU,PUERTO DEL CALLAO,MIKEL COFFEE S A C,MIKEL COFFEE S A C,CHILE,CHILE,Coffee equivalents,9446.57,1.587
2014,PERU,PUERTO DEL CALLAO,MIKEL COFFEE S A C,MIKEL COFFEE S A C,UNITED STATES,UNITED STATES,Coffee equivalents,81371.52,15.456
2014,PERU,PUERTO DEL CALLAO,MINISTERIO DE COMERCIO EXTERIOR Y TURISM,MINISTERIO DE COMERCIO EXTERIOR Y TURISM,UNITED STATES,UNITED STATES,Coffee equivalents,1616.5,0.234825
2018,PERU,PUERTO DEL CALLAO,MINISTERIO DE RELACIONES EXTERIORES,MINISTERIO DE RELACIONES EXTERIORES,CANADA,CANADA,Coffee equivalents,20,0.002525
2015,PERU,PUERTO DEL CALLAO,MINISTERIO DE RELACIONES EXTERIORES,MINISTERIO DE RELACIONES EXTERIORES,ITALY,EUROPEAN UNION,Coffee equivalents,646.5,0.3393
2016,PERU,PUERTO DEL CALLAO,MINISTERIO DE RELACIONES EXTERIORES,MINISTERIO DE RELACIONES EXTERIORES,MALAYSIA,MALAYSIA,Coffee equivalents,11.5,0.014375
2016,PERU,PUERTO DEL CALLAO,MIRANDA LANGA AGRO EXPORT S A C MIRA,MIRANDA LANGA AGRO EXPORT S A C MIRA,UNITED STATES,UNITED STATES,Coffee equivalents,3361.7,0.15675
2018,PERU,PUERTO DEL CALLAO,MIRANDA LANGA AGRO EXPORT S A C MIRA,MIRANDA LANGA AGRO EXPORT S A C MIRA,UNITED STATES,UNITED STATES,Coffee equivalents,1991.7,0.0855
2014,PERU,PUERTO DEL CALLAO,MISHASHO CAFE E I R L,MISHASHO CAFE E I R L,UNITED STATES,UNITED STATES,Coffee equivalents,15.6,0.004
2018,PERU,PUERTO DEL CALLAO,MOIKO EXPORTADORES E I R L,MOIKO EXPORTADORES E I R L,UNITED STATES,UNITED STATES,Coffee equivalents,24,0.00025
2017,PERU,PUERTO DEL CALLAO,MONDO IMPRENDITORE S A C,MONDO IMPRENDITORE S A C,GERMANY,EUROPEAN UNION,Coffee equivalents,16.8,0.01293
2013,PERU,PUERTO DEL CALLAO,MONTANA ROJA DE SHAMBU E I R L,MONTANA ROJA DE SHAMBU E I R L,ITALY,EUROPEAN UNION,Coffee equivalents,12437.18,3.2585
2014,PERU,PUERTO DEL CALLAO,MONTANA ROJA DE SHAMBU E I R L,MONTANA ROJA DE SHAMBU E I R L,ITALY,EUROPEAN UNION,Coffee equivalents,35235,12.89
2013,PERU,PUERTO DEL CALLAO,MONTE VERDE INVERSIONES PERU SAC,MONTE VERDE INVERSIONES PERU SAC,CHILE,CHILE,Coffee equivalents,52401.72,13
2015,PERU,PUERTO DEL CALLAO,MONTE VERDE INVERSIONES PERU SAC,MONTE VERDE INVERSIONES PERU SAC,UNITED STATES,UNITED STATES,Coffee equivalents,5181.8,0.626525
2014,PERU,PUERTO DEL CALLAO,NATHUE S A C,NATHUE S A C,ITALY,EUROPEAN UNION,Coffee equivalents,1500,0.0625
2018,PERU,PUERTO DEL CALLAO,NATURAL HEALTH FOODS S A C,NATURAL HEALTH FOODS S A C,CHILE,CHILE,Coffee equivalents,460,0.0171125
2013,PERU,PUERTO DEL CALLAO,N B TEALDO Y CIA S A,N B TEALDO Y CIA S A,GERMANY,EUROPEAN UNION,Coffee equivalents,58987.5,18.975
2014,PERU,PUERTO DEL CALLAO,N B TEALDO Y CIA S A,N B TEALDO Y CIA S A,GERMANY,EUROPEAN UNION,Coffee equivalents,320883.75,75.9
2015,PERU,PUERTO DEL CALLAO,N B TEALDO Y CIA S A,N B TEALDO Y CIA S A,GERMANY,EUROPEAN UNION,Coffee equivalents,91459,37.95
2016,PERU,PUERTO DEL CALLAO,N B TEALDO Y CIA S A,N B TEALDO Y CIA S A,GERMANY,EUROPEAN UNION,Coffee equivalents,161076.07,57.201
2013,PERU,PUERTO DEL CALLAO,N B TEALDO Y CIA S A,N B TEALDO Y CIA S A,ITALY,EUROPEAN UNION,Coffee equivalents,124162.5,37.95
2014,PERU,PUERTO DEL CALLAO,N B TEALDO Y CIA S A,N B TEALDO Y CIA S A,ITALY,EUROPEAN UNION,Coffee equivalents,179231.5,37.95
