YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,BEEF_EQUIVALENT_TONNES
2016,COLOMBIA,BOGOTA,AGRICOLA CERRO PENON S A S,AGRICOLA CERRO PENON S A S,INV MAX MARY S R L,INV MAX MARY S R L,PERU,PERU,Beef equivalents,30800,2.0366
2014,COLOMBIA,BOGOTA,AGRICOLA CERRO PENON S A S,AGRICOLA CERRO PENON S A S,JORGE SAUL HUAMANI FERIA,JORGE SAUL HUAMANI FERIA,PERU,PERU,Beef equivalents,6000,1.4376
2015,COLOMBIA,BOGOTA,AGRICOLA CERRO PENON S A S,AGRICOLA CERRO PENON S A S,JORGE SAUL HUAMANI FERIA,JORGE SAUL HUAMANI FERIA,PERU,PERU,Beef equivalents,4000,0.9584
2013,COLOMBIA,BOGOTA,AGRICOLA CERRO PENON S A S,AGRICOLA CERRO PENON S A S,MUNICIPALIDAD PROVINCIAL DE CHOTA,MUNICIPALIDAD PROVINCIAL DE CHOTA,PERU,PERU,Beef equivalents,39600,2.8752
2013,COLOMBIA,BOGOTA,AGRICOLA CERRO PENON S A S,AGRICOLA CERRO PENON S A S,TAURO TURF SERV S A C,TAURO TURF SERV S A C,PERU,PERU,Beef equivalents,21000,1.4376
2014,COLOMBIA,BOGOTA,AGRICOLA CERRO PENON S A S,AGRICOLA CERRO PENON S A S,TAURO TURF SERV S A C,TAURO TURF SERV S A C,PERU,PERU,Beef equivalents,37500,4.42062
2015,COLOMBIA,BOGOTA,AGRICOLA CERRO PENON S A S,AGRICOLA CERRO PENON S A S,TAURO TURF SERV S A C,TAURO TURF SERV S A C,PERU,PERU,Beef equivalents,12000,2.8752
2014,COLOMBIA,BOGOTA,AGRICOLA CERRO PENON S A S,AGRICOLA CERRO PENON S A S,WA VISION S A C,WA VISION S A C,PERU,PERU,Beef equivalents,60000,6.21163
2018,COLOMBIA,BOGOTA,AGRO INDS LA ESTANCIA S A S,AGRO INDS LA ESTANCIA S A S,NOORD CONNECT JSC,NOORD CONNECT JSC,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,54.9,0.01255892400915
2014,COLOMBIA,BOGOTA,AGROP ACHURY VIEJO Y CIA S C S,AGROP ACHURY VIEJO Y CIA S C S,CITOTUSA S A,CITOTUSA S A,PERU,PERU,Beef equivalents,19000,2.1564
2016,COLOMBIA,BOGOTA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,FAIRIS C A,FAIRIS C A,PERU,PERU,Beef equivalents,96.3,0.043921920032
2016,COLOMBIA,BOGOTA,AGROP EL CUCUBAL LTDA,AGROP EL CUCUBAL LTDA,GUTARRA CASTILLO DE LINDO LENA LUZ,GUTARRA CASTILLO DE LINDO LENA LUZ,PERU,PERU,Beef equivalents,21000,2.8752
2013,COLOMBIA,BOGOTA,AGROP EL CUCUBAL LTDA,AGROP EL CUCUBAL LTDA,MUNICIPALIDAD PROVINCIAL DE CHOTA,MUNICIPALIDAD PROVINCIAL DE CHOTA,PERU,PERU,Beef equivalents,9000,1.4376
2015,COLOMBIA,BOGOTA,AGROP EL CUCUBAL LTDA,AGROP EL CUCUBAL LTDA,POUS LOUIS PAUL,POUS LOUIS PAUL,PERU,PERU,Beef equivalents,6000,1.4376
2013,COLOMBIA,BOGOTA,AGROP RESTREPO GARCIA Y CIA LTDA,AGROP RESTREPO GARCIA Y CIA LTDA,STA ROSA IMP S A C,STA ROSA IMP S A C,PERU,PERU,Beef equivalents,13500,2.1564
2014,COLOMBIA,BOGOTA,AGROP VARGAS MENDEZ Y CIA LTDA,AGROP VARGAS MENDEZ Y CIA LTDA,ALFREDO CUBA CONTRERAS,ALFREDO CUBA CONTRERAS,PERU,PERU,Beef equivalents,4000,0.9584
2015,COLOMBIA,BOGOTA,CASTRO BOTERO LUIS FERNANDO,CASTRO BOTERO LUIS FERNANDO,TAURO TURF SERV S A C,TAURO TURF SERV S A C,PERU,PERU,Beef equivalents,6000,1.4376
2014,COLOMBIA,BOGOTA,CEDIEL ANGEL MANUEL ALBERTO,CEDIEL ANGEL MANUEL ALBERTO,ALFREDO CUBA CONTRERAS,ALFREDO CUBA CONTRERAS,PERU,PERU,Beef equivalents,9800,1.6772
2013,COLOMBIA,BOGOTA,CEDIEL ANGEL MANUEL ALBERTO,CEDIEL ANGEL MANUEL ALBERTO,MUNICIPALIDAD PROVINCIAL SANCHEZ CARRION,MUNICIPALIDAD PROVINCIAL SANCHEZ CARRION,PERU,PERU,Beef equivalents,3000,1.4376
2013,COLOMBIA,BOGOTA,CEDIEL ANGEL MANUEL ALBERTO,CEDIEL ANGEL MANUEL ALBERTO,STA ROSA IMP S A C,STA ROSA IMP S A C,PERU,PERU,Beef equivalents,4972,1.9168
2015,COLOMBIA,BOGOTA,CENTRAL AMERICA S BEEF S A S,CENTRAL AMERICA S BEEF S A S,COMPLEX LOGISTICS SYSTEM,COMPLEX LOGISTICS SYSTEM,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,83.32,0.04084738562976
2015,COLOMBIA,BOGOTA,CIA INTL DE ALIMENTOS AGROPECUARIOS CIALTA S A S,CIA INTL DE ALIMENTOS AGROPECUARIOS CIALTA S A S,OREGON FOODS SAC,OREGON FOODS SAC,PERU,PERU,Beef equivalents,948.96,0.131765760096
2016,COLOMBIA,BOGOTA,CORVEL CARGO AMERICAN GROUP S A S,CORVEL CARGO AMERICAN GROUP S A S,TABACO S A,TABACO S A,PANAMA,PANAMA,Beef equivalents,100,0.04279855
2016,COLOMBIA,BOGOTA,ESTACION DE SERV LOPECOR Y CIA LTDA,ESTACION DE SERV LOPECOR Y CIA LTDA,AGROGANADERA HUALLAGA S A C,AGROGANADERA HUALLAGA S A C,PERU,PERU,Beef equivalents,17600,2.396
2013,COLOMBIA,BOGOTA,GANADERIA TOROS LIDIA VISTA HERMOSA GARCIA TRIANA Y CIA S A,GANADERIA TOROS LIDIA VISTA HERMOSA GARCIA TRIANA Y CIA S A,CONSORCIO DE TOROS,CONSORCIO DE TOROS,PERU,PERU,Beef equivalents,14000,1.16206
2016,COLOMBIA,BOGOTA,GANADERIA TOROS LIDIA VISTA HERMOSA GARCIA TRIANA Y CIA S A,GANADERIA TOROS LIDIA VISTA HERMOSA GARCIA TRIANA Y CIA S A,DAVILA FUENTES JORGE CARLOS,DAVILA FUENTES JORGE CARLOS,PERU,PERU,Beef equivalents,6000,1.4376
2014,COLOMBIA,BOGOTA,GANADERIA TOROS LIDIA VISTA HERMOSA GARCIA TRIANA Y CIA S A,GANADERIA TOROS LIDIA VISTA HERMOSA GARCIA TRIANA Y CIA S A,TAURO TURF SERV S A C,TAURO TURF SERV S A C,PERU,PERU,Beef equivalents,8000,1.3178
2014,COLOMBIA,BOGOTA,GONZALEZ RINCON Y CIA S C S,GONZALEZ RINCON Y CIA S C S,CITOTUSA S A,CITOTUSA S A,PERU,PERU,Beef equivalents,21000,1.4376
2014,COLOMBIA,BOGOTA,INVS LOPEZ NAVARRETE S A,INVS LOPEZ NAVARRETE S A,ROMULO EDWIN SEVILLA JUAREZ,ROMULO EDWIN SEVILLA JUAREZ,PERU,PERU,Beef equivalents,8000,2.396
2014,COLOMBIA,BOGOTA,INVS LOPEZ NAVARRETE S A,INVS LOPEZ NAVARRETE S A,ROMULO EDWIN SEVILLA SUAREZ,ROMULO EDWIN SEVILLA SUAREZ,PERU,PERU,Beef equivalents,1600,0.2396
2014,COLOMBIA,BOGOTA,JERONIMO PIMENTEL GOMEZ,JERONIMO PIMENTEL GOMEZ,CESAR FERNANDO LOAYZA BELLIDO,CESAR FERNANDO LOAYZA BELLIDO,PERU,PERU,Beef equivalents,11500,1.976101
2014,COLOMBIA,BOGOTA,JERONIMO PIMENTEL GOMEZ,JERONIMO PIMENTEL GOMEZ,HIPOLITO CHACON QUISPE,HIPOLITO CHACON QUISPE,PERU,PERU,Beef equivalents,19500,3.009975
2016,COLOMBIA,BOGOTA,JERONIMO PIMENTEL GOMEZ,JERONIMO PIMENTEL GOMEZ,HIPOLITO CHACON QUISPE,HIPOLITO CHACON QUISPE,PERU,PERU,Beef equivalents,16000,3.8336
2014,COLOMBIA,BOGOTA,JERONIMO PIMENTEL GOMEZ,JERONIMO PIMENTEL GOMEZ,JORGE SAUL HUAMANI FERIA,JORGE SAUL HUAMANI FERIA,PERU,PERU,Beef equivalents,6000,1.4376
2014,COLOMBIA,BOGOTA,JERONIMO PIMENTEL GOMEZ,JERONIMO PIMENTEL GOMEZ,JOSE WILSON LOZADA SALAZAR,JOSE WILSON LOZADA SALAZAR,PERU,PERU,Beef equivalents,7000,1.6772
2014,COLOMBIA,BOGOTA,JERONIMO PIMENTEL GOMEZ,JERONIMO PIMENTEL GOMEZ,MARIO ALBERTO RAMOS PEREZ ALBELA,MARIO ALBERTO RAMOS PEREZ ALBELA,PERU,PERU,Beef equivalents,27900,4.193
2014,COLOMBIA,BOGOTA,JERONIMO PIMENTEL GOMEZ,JERONIMO PIMENTEL GOMEZ,RAFAEL PENA VALENZUELA,RAFAEL PENA VALENZUELA,PERU,PERU,Beef equivalents,1900,0.48519
2013,COLOMBIA,BOGOTA,JERONIMO PIMENTEL GOMEZ,JERONIMO PIMENTEL GOMEZ,TELLO PICON DAVID AMERICO,TELLO PICON DAVID AMERICO,PERU,PERU,Beef equivalents,1900,0.2396
2013,COLOMBIA,BOGOTA,JSC TRADING CORP S A S,JSC TRADING CORP S A S,BERDICK S A,BERDICK S A,URUGUAY,URUGUAY,Beef equivalents,96086.9,30.974
2013,COLOMBIA,BOGOTA,JSC TRADING CORP S A S,JSC TRADING CORP S A S,BIOIBERICA S A,BIOIBERICA S A,SPAIN,EUROPEAN UNION,Beef equivalents,89885.58,71.259
2014,COLOMBIA,BOGOTA,JSC TRADING CORP S A S,JSC TRADING CORP S A S,BIOIBERICA S A,BIOIBERICA S A,SPAIN,EUROPEAN UNION,Beef equivalents,201666.68,159.627
2015,COLOMBIA,BOGOTA,JSC TRADING CORP S A S,JSC TRADING CORP S A S,BIOIBERICA S A,BIOIBERICA S A,SPAIN,EUROPEAN UNION,Beef equivalents,329784.84,261.734
2016,COLOMBIA,BOGOTA,JSC TRADING CORP S A S,JSC TRADING CORP S A S,BIOIBERICA S A,BIOIBERICA S A,SPAIN,EUROPEAN UNION,Beef equivalents,118262.34,93.859
2016,COLOMBIA,BOGOTA,JSC TRADING CORP S A S,JSC TRADING CORP S A S,IMS TRADING CORP,IMS TRADING CORP,UNITED STATES,UNITED STATES,Beef equivalents,1846690.04,76.845
2017,COLOMBIA,BOGOTA,JSC TRADING CORP S A S,JSC TRADING CORP S A S,IMS TRADING CORP,IMS TRADING CORP,UNITED STATES,UNITED STATES,Beef equivalents,1532972.69,59.88
2013,COLOMBIA,BOGOTA,JSC TRADING CORP S A S,JSC TRADING CORP S A S,RUSSELL WADLEIGH IMS TRADING CORP,RUSSELL WADLEIGH IMS TRADING CORP,UNITED STATES,UNITED STATES,Beef equivalents,2208737.34,154.827
2014,COLOMBIA,BOGOTA,JSC TRADING CORP S A S,JSC TRADING CORP S A S,RUSSELL WADLEIGH IMS TRADING CORP,RUSSELL WADLEIGH IMS TRADING CORP,UNITED STATES,UNITED STATES,Beef equivalents,2791498.82,140.506
2015,COLOMBIA,BOGOTA,JSC TRADING CORP S A S,JSC TRADING CORP S A S,RUSSELL WADLEIGH IMS TRADING CORP,RUSSELL WADLEIGH IMS TRADING CORP,UNITED STATES,UNITED STATES,Beef equivalents,1198564.52,57.334
2016,COLOMBIA,BOGOTA,JSC TRADING CORP S A S,JSC TRADING CORP S A S,RUSSELL WADLEIGH IMS TRADING CORP,RUSSELL WADLEIGH IMS TRADING CORP,UNITED STATES,UNITED STATES,Beef equivalents,356379.99,17.407
2017,COLOMBIA,BOGOTA,LA HUERTA DE ORIENTE S A S,LA HUERTA DE ORIENTE S A S,INVS Y ASESORIAS BRAC LTD,INVS Y ASESORIAS BRAC LTD,CHILE,CHILE,Beef equivalents,3479.89,1.1052533364912
2014,COLOMBIA,BOGOTA,LAS VENTAS DEL ESPIRITU SANTO SCA,LAS VENTAS DEL ESPIRITU SANTO SCA,CITOTUSA S A,CITOTUSA S A,PERU,PERU,Beef equivalents,47545,1.4376
2014,COLOMBIA,BOGOTA,MONDONEDO INDS ASOCIADOS Y CIA S EN C,MONDONEDO INDS ASOCIADOS Y CIA S EN C,TAURO TURF SERV S A C,TAURO TURF SERV S A C,PERU,PERU,Beef equivalents,9000,0.6589
2018,COLOMBIA,BOGOTA,PAN PAYA LTDA,PAN PAYA LTDA,SUPERMERCADOS LUZ B V,SUPERMERCADOS LUZ B V,CURACAO,CURACAO,Beef equivalents,1,0.013066666704
2016,COLOMBIA,BUCARAMANGA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,CEDARS TRADING CO S A R L,CEDARS TRADING CO S A R L,LEBANON,LEBANON,Beef equivalents,2239474.75,1071.05393
2018,COLOMBIA,BUENAVENTURA,CIALZDORA DERIVADOS CARNICOS S A S,CIALZDORA DERIVADOS CARNICOS S A S,HAI PHONG PORT SERVS JOINT STOCK CO,HAI PHONG PORT SERVS JOINT STOCK CO,VIETNAM,VIETNAM,Beef equivalents,377098,58
2018,COLOMBIA,BUENAVENTURA,CIALZDORA DERIVADOS CARNICOS S A S,CIALZDORA DERIVADOS CARNICOS S A S,JISON CASE,JISON CASE,CHINA (HONG KONG),CHINA (HONG KONG),Beef equivalents,236149,29
2018,COLOMBIA,BUENAVENTURA,CIALZDORA DERIVADOS CARNICOS S A S,CIALZDORA DERIVADOS CARNICOS S A S,JISON CASE,JISON CASE,VIETNAM,VIETNAM,Beef equivalents,445048,58
2018,COLOMBIA,BUENAVENTURA,CIALZDORA DERIVADOS CARNICOS S A S,CIALZDORA DERIVADOS CARNICOS S A S,KA LONG IMP EXP J S C,KA LONG IMP EXP J S C,VIETNAM,VIETNAM,Beef equivalents,195549,29
2018,COLOMBIA,BUENAVENTURA,CIALZDORA DERIVADOS CARNICOS S A S,CIALZDORA DERIVADOS CARNICOS S A S,KONGKONG RF INTL TRADE CO,KONGKONG RF INTL TRADE CO,VIETNAM,VIETNAM,Beef equivalents,1118919,144.812
2018,COLOMBIA,BUENAVENTURA,CIALZDORA DERIVADOS CARNICOS S A S,CIALZDORA DERIVADOS CARNICOS S A S,KONG TAI TRADING LTD S A DE C V RFC,KONG TAI TRADING LTD S A DE C V RFC,VIETNAM,VIETNAM,Beef equivalents,211049,29
2018,COLOMBIA,BUENAVENTURA,CIALZDORA DERIVADOS CARNICOS S A S,CIALZDORA DERIVADOS CARNICOS S A S,NHA PHUONG CO LTD,NHA PHUONG CO LTD,VIETNAM,VIETNAM,Beef equivalents,546647,87
2018,COLOMBIA,BUENAVENTURA,CIALZDORA DERIVADOS CARNICOS S A S,CIALZDORA DERIVADOS CARNICOS S A S,QUANG ANH TRADING IMP EXP AND PRODUCTION CO LTD,QUANG ANH TRADING IMP EXP AND PRODUCTION CO LTD,VIETNAM,VIETNAM,Beef equivalents,1324843,203
2018,COLOMBIA,BUENAVENTURA,CIALZDORA DERIVADOS CARNICOS S A S,CIALZDORA DERIVADOS CARNICOS S A S,SHWE LA PYAE WON TRADING CO LTD,SHWE LA PYAE WON TRADING CO LTD,VIETNAM,VIETNAM,Beef equivalents,195549,29
2018,COLOMBIA,BUENAVENTURA,CIALZDORA DERIVADOS CARNICOS S A S,CIALZDORA DERIVADOS CARNICOS S A S,TECNOBLEN SUB PRODS BOVINE,TECNOBLEN SUB PRODS BOVINE,VIETNAM,VIETNAM,Beef equivalents,211849,29
2018,COLOMBIA,BUENAVENTURA,CIALZDORA DERIVADOS CARNICOS S A S,CIALZDORA DERIVADOS CARNICOS S A S,TRI DUC TRADE AND SERVS JOINT STOCK CO,TRI DUC TRADE AND SERVS JOINT STOCK CO,VIETNAM,VIETNAM,Beef equivalents,191549,29
2016,COLOMBIA,BUENAVENTURA,CIALZDORA DERIVADOS CARNICOS S A S,CIALZDORA DERIVADOS CARNICOS S A S,YIYI INTL TRADE LTD,YIYI INTL TRADE LTD,VIETNAM,VIETNAM,Beef equivalents,153649.7,56.065
2017,COLOMBIA,BUENAVENTURA,CIALZDORA DERIVADOS CARNICOS S A S,CIALZDORA DERIVADOS CARNICOS S A S,YIYI INTL TRADE LTD,YIYI INTL TRADE LTD,VIETNAM,VIETNAM,Beef equivalents,1711444.49,403.492
2018,COLOMBIA,BUENAVENTURA,CIALZDORA DERIVADOS CARNICOS S A S,CIALZDORA DERIVADOS CARNICOS S A S,YIYI INTL TRADE LTD,YIYI INTL TRADE LTD,VIETNAM,VIETNAM,Beef equivalents,763935,145
2016,COLOMBIA,BUENAVENTURA,CIALZ Y DIST MARKETING MIX LTDA,CIALZ Y DIST MARKETING MIX LTDA,HUNG THINH TRADING AND IMP EXP JOINT STOCK CO,HUNG THINH TRADING AND IMP EXP JOINT STOCK CO,VIETNAM,VIETNAM,Beef equivalents,42138.95,26.365
2014,COLOMBIA,BUENAVENTURA,DGF INTL S A S,DGF INTL S A S,G OCEAN INTL CO LTD,G OCEAN INTL CO LTD,CHINA (HONG KONG),CHINA (HONG KONG),Beef equivalents,63259.2,20.12
2015,COLOMBIA,BUENAVENTURA,DGF INTL S A S,DGF INTL S A S,WAI FAT INTL TRADING LTD,WAI FAT INTL TRADING LTD,CHINA (HONG KONG),CHINA (HONG KONG),Beef equivalents,46634.4,26.436
2014,COLOMBIA,BUENAVENTURA,DGF INTL S A S,DGF INTL S A S,WIN SUNNY,WIN SUNNY,CHINA (HONG KONG),CHINA (HONG KONG),Beef equivalents,55427,24.78
2015,COLOMBIA,BUENAVENTURA,FOOD TRADERS WORLDWIDE S A S,FOOD TRADERS WORLDWIDE S A S,FAIRIS C A,FAIRIS C A,PERU,PERU,Beef equivalents,77348.71,33.511038698815
2017,COLOMBIA,BUENAVENTURA,GLOBAL EXP IMP S A S,GLOBAL EXP IMP S A S,M S QUANG ANH TRADING IMP EXP AND PRODUCTION CO LTD,M S QUANG ANH TRADING IMP EXP AND PRODUCTION CO LTD,VIETNAM,VIETNAM,Beef equivalents,152297.5,28.3608
2015,COLOMBIA,BUENAVENTURA,GLOBAL EXP IMP S A S,GLOBAL EXP IMP S A S,NONGWUASOR COFFEE GROWERS CO LTD,NONGWUASOR COFFEE GROWERS CO LTD,VIETNAM,VIETNAM,Beef equivalents,36828,14.85
2015,COLOMBIA,BUENAVENTURA,INVS DELEPIANI S A S I D S A S,INVS DELEPIANI S A S I D S A S,CREATIVE GLOBAL LOGISTIC CO LTD,CREATIVE GLOBAL LOGISTIC CO LTD,CHINA (HONG KONG),CHINA (HONG KONG),Beef equivalents,75649.76,23.367
2018,COLOMBIA,BUENAVENTURA,LAMERICA CI S A S,LAMERICA CI S A S,LATINOS HONG KONG TRADING CO,LATINOS HONG KONG TRADING CO,CHINA (HONG KONG),CHINA (HONG KONG),Beef equivalents,807.22,0.0957600002736
2015,COLOMBIA,BUENAVENTURA,LATIN AMERICA DISTRIB COLOMBIA S A LADCOLOMBIA S A,LATIN AMERICA DISTRIB COLOMBIA S A LADCOLOMBIA S A,MBM CUSTOMIZED FOODSERVICE DIST,MBM CUSTOMIZED FOODSERVICE DIST,UNITED STATES,UNITED STATES,Beef equivalents,64558.48,21.494900061414
2016,COLOMBIA,BUENAVENTURA,RED CARNICA S A S,RED CARNICA S A S,QUANG NINH SHIPCHANDLER JOINT STOCK CORP,QUANG NINH SHIPCHANDLER JOINT STOCK CORP,CHINA (HONG KONG),CHINA (HONG KONG),Beef equivalents,81148.64,36.8011748260121
2016,COLOMBIA,BUENAVENTURA,RED CARNICA S A S,RED CARNICA S A S,QUANG NINH SHIPCHANDLER JOINT STOCK CORP,QUANG NINH SHIPCHANDLER JOINT STOCK CORP,VIETNAM,VIETNAM,Beef equivalents,84807.49,37.1404716582593
2015,COLOMBIA,BUENAVENTURA,SUBPRODUCTOS CARNICOS NALS S A S,SUBPRODUCTOS CARNICOS NALS S A S,SHUN FA FROZEN FOOD TRADING LTD,SHUN FA FROZEN FOOD TRADING LTD,CHINA (HONG KONG),CHINA (HONG KONG),Beef equivalents,45725.05,25.40281
2013,COLOMBIA,BUENAVENTURA,SUPERTIENDAS Y DROGUERIAS OLIMPICA S A,SUPERTIENDAS Y DROGUERIAS OLIMPICA S A,QUIRCH FOODS CO,QUIRCH FOODS CO,UNITED STATES,UNITED STATES,Beef equivalents,25973.34,25.85335
2017,COLOMBIA,BUENAVENTURA,SYZ TECH S A S,SYZ TECH S A S,LIANTA LOGISTICS CO LTD,LIANTA LOGISTICS CO LTD,NORTH KOREA,NORTH KOREA,Beef equivalents,19200.76,8.914
2014,COLOMBIA,BUENAVENTURA,TRADING CIA INTL COLVENCHI S A S,TRADING CIA INTL COLVENCHI S A S,LATIN SHARK INTL LTD,LATIN SHARK INTL LTD,CHINA (HONG KONG),CHINA (HONG KONG),Beef equivalents,64400,23
2015,COLOMBIA,ESPECIAL DE CARTAGENA,AGROINDUSTRIAS ASAF S A S,AGROINDUSTRIAS ASAF S A S,KHALIFEH LIVESTOCK TRADING CO S A R L,KHALIFEH LIVESTOCK TRADING CO S A R L,LEBANON,LEBANON,Beef equivalents,2148455,902.60315
2018,COLOMBIA,ESPECIAL DE CARTAGENA,AGROINVERSIONES BRASIL S A S GRUPO AGB,AGROINVERSIONES BRASIL S A S GRUPO AGB,IP DMITRUK LEONID AFANASYEVICH,IP DMITRUK LEONID AFANASYEVICH,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,96963.04,32.9569499520113
2017,COLOMBIA,ESPECIAL DE CARTAGENA,AGROINVERSIONES BRASIL S A S GRUPO AGB,AGROINVERSIONES BRASIL S A S GRUPO AGB,KMPZ BALTPROMMYASO,KMPZ BALTPROMMYASO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,77057.08,37.0624141710024
2018,COLOMBIA,ESPECIAL DE CARTAGENA,AGROINVERSIONES BRASIL S A S GRUPO AGB,AGROINVERSIONES BRASIL S A S GRUPO AGB,KROMEKSPON,KROMEKSPON,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,309285.13,110.183214872276
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AGROINVERSIONES BRASIL S A S GRUPO AGB,AGROINVERSIONES BRASIL S A S GRUPO AGB,LTD LIABILITY CO MEAT CANNING PRESERVING PLANT,LTD LIABILITY CO MEAT CANNING PRESERVING PLANT,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,82708.94,37.0543160669965
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AGROINVERSIONES BRASIL S A S GRUPO AGB,AGROINVERSIONES BRASIL S A S GRUPO AGB,RADINCO,RADINCO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,89759.26,37.071473067009
2018,COLOMBIA,ESPECIAL DE CARTAGENA,AGROINVERSIONES BRASIL S A S GRUPO AGB,AGROINVERSIONES BRASIL S A S GRUPO AGB,TOO FIRMA RASSVET BIN 061140012862,TOO FIRMA RASSVET BIN 061140012862,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,528934.98,185.307541407009
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AGROINVERSIONES BRASIL S A S GRUPO AGB,AGROINVERSIONES BRASIL S A S GRUPO AGB,VYMPEL,VYMPEL,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,90645.84,37.0580219789992
2015,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,AGROKOMMERC,AGROKOMMERC,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,1081111.5,496.039107858197
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,BALTIC PRESTIGE,BALTIC PRESTIGE,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,46476.01,34.6975619172795
2017,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,BARARI AL FURATIN CO,BARARI AL FURATIN CO,IRAQ,IRAQ,Beef equivalents,2642235.25,924.74219
2015,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,BSC LLC,BSC LLC,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,470636.1,215.921943205313
2018,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,CEDARS TRADING CO S A R L,CEDARS TRADING CO S A R L,LEBANON,LEBANON,Beef equivalents,2510023.75,1032.61011
2015,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,DYMOVSKOE KOLBASNOE PROIZVODSTVO,DYMOVSKOE KOLBASNOE PROIZVODSTVO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,322460.57,140.305004886221
2015,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,GIRONA TRADING CO LTD,GIRONA TRADING CO LTD,JORDAN,JORDAN,Beef equivalents,65399.4,35.5196567298784
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,GIRONA TRADING CO LTD,GIRONA TRADING CO LTD,JORDAN,JORDAN,Beef equivalents,48249.95,34.2553230849573
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,HIJAZI AND GHOSHEH CO,HIJAZI AND GHOSHEH CO,JORDAN,JORDAN,Beef equivalents,758573.15,328.393284227256
2015,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,INVS PECUARIAS LURIN S A,INVS PECUARIAS LURIN S A,PERU,PERU,Beef equivalents,397862.89,135.71900741088
2015,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,KMPZ BALTPROMMYASO,KMPZ BALTPROMMYASO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,78275.06,35.3541808961578
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,KMPZ BALTPROMMYASO,KMPZ BALTPROMMYASO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,581854.26,279.201763211417
2014,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,KORPORATSIJA ANTEYSPB,KORPORATSIJA ANTEYSPB,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,1344095.26,463.353526743983
2015,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,KORPORATSIJA ANTEYSPB,KORPORATSIJA ANTEYSPB,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,484480.22,233.933650056036
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,LEBANON BIBLE SOCIETY,LEBANON BIBLE SOCIETY,LEBANON,LEBANON,Beef equivalents,1132990,455.68326
2014,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,LLC WESTIMPEX,LLC WESTIMPEX,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,1694935.03,603.76133637428
