YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COTTON_EQUIVALENT_TONNES
2015,ARGENTINA,BUENOS AIRES SUR,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,SOUTH KOREA,SOUTH KOREA,Cotton equivalents,72381.42,68.4
2015,ARGENTINA,BUENOS AIRES SUR,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,TAIWAN,TAIWAN,Cotton equivalents,96897.46,101.04
2015,ARGENTINA,BUENOS AIRES SUR,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,THAILAND,THAILAND,Cotton equivalents,336753.54,347.16
2016,ARGENTINA,BUENOS AIRES SUR,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,THAILAND,THAILAND,Cotton equivalents,116667.43,98
2015,ARGENTINA,BUENOS AIRES SUR,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,TURKEY,TURKEY,Cotton equivalents,702211.2,748.8
2016,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,BANGLADESH,BANGLADESH,Cotton equivalents,339537.29,352.27
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,BELGIUM,EUROPEAN UNION,Cotton equivalents,48063.68,51.405
2016,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,BELGIUM,EUROPEAN UNION,Cotton equivalents,172469.82,201.7189
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,CHINA (HONG KONG),CHINA (HONG KONG),Cotton equivalents,85980,100
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,CHINA (MAINLAND),CHINA (MAINLAND),Cotton equivalents,133267.45,155
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,COLOMBIA,COLOMBIA,Cotton equivalents,956980.73,985.55
2016,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,COLOMBIA,COLOMBIA,Cotton equivalents,1357929.03,1259.67
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,INDIA,INDIA,Cotton equivalents,1423569.36,1699.155
2016,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,INDIA,INDIA,Cotton equivalents,733547.75,689.64
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,INDONESIA,INDONESIA,Cotton equivalents,1333208.73,1569.849
2016,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,INDONESIA,INDONESIA,Cotton equivalents,407428.86,411.288
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,JAPAN,JAPAN,Cotton equivalents,251772.72,279.179
2016,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,JAPAN,JAPAN,Cotton equivalents,281358.08,270.94
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,MOROCCO,MOROCCO,Cotton equivalents,642040.57,676.52
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,SINGAPORE,SINGAPORE,Cotton equivalents,2017413.07,2095.8
2016,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,SINGAPORE,SINGAPORE,Cotton equivalents,180891.12,169.67
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,SPAIN,EUROPEAN UNION,Cotton equivalents,160440,152.8
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,TAIWAN,TAIWAN,Cotton equivalents,247103.96,264.98
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,THAILAND,THAILAND,Cotton equivalents,420086.87,477.349
2016,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,THAILAND,THAILAND,Cotton equivalents,119996,100
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,TURKEY,TURKEY,Cotton equivalents,198931.45,245.39
2016,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,TURKEY,TURKEY,Cotton equivalents,583351.16,571.75
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Cotton equivalents,33519.77,33.85835
2016,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Cotton equivalents,140501.64,164.8856
2016,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,URUGUAY,URUGUAY,Cotton equivalents,3089.6,7.192
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,VIETNAM,VIETNAM,Cotton equivalents,420163.69,405.5
2016,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,VIETNAM,VIETNAM,Cotton equivalents,151191.66,190.464
2013,ARGENTINA,BUENOS AIRES,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,CHINA (HONG KONG),CHINA (HONG KONG),Cotton equivalents,31296.5,21.84
2016,ARGENTINA,BUENOS AIRES,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,COLOMBIA,COLOMBIA,Cotton equivalents,186557.63,166.97
2018,ARGENTINA,BUENOS AIRES,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,COLOMBIA,COLOMBIA,Cotton equivalents,72795.84,52
2016,ARGENTINA,BUENOS AIRES,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,INDONESIA,INDONESIA,Cotton equivalents,115028.69,96.38
2017,ARGENTINA,BUENOS AIRES,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,INDONESIA,INDONESIA,Cotton equivalents,77736.32,66.53
2018,ARGENTINA,BUENOS AIRES,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,INDONESIA,INDONESIA,Cotton equivalents,2768414.42,1750.12
2018,ARGENTINA,BUENOS AIRES,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,PAKISTAN,PAKISTAN,Cotton equivalents,263956.76,165
2013,ARGENTINA,BUENOS AIRES,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,SINGAPORE,SINGAPORE,Cotton equivalents,160159.3,114.46
2016,ARGENTINA,BUENOS AIRES,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,SINGAPORE,SINGAPORE,Cotton equivalents,139570.16,119.45
2018,ARGENTINA,BUENOS AIRES,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,SPAIN,EUROPEAN UNION,Cotton equivalents,246364.5,150
2013,ARGENTINA,BUENOS AIRES,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,TAIWAN,TAIWAN,Cotton equivalents,21093.61,14.72
2018,ARGENTINA,BUENOS AIRES,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,THAILAND,THAILAND,Cotton equivalents,1486396.32,906
2018,ARGENTINA,BUENOS AIRES,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,TURKEY,TURKEY,Cotton equivalents,285927.79,186.88
2018,ARGENTINA,BUENOS AIRES,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,VIETNAM,VIETNAM,Cotton equivalents,547181.72,378.4
2016,ARGENTINA,BUENOS AIRES,TINTORERIA ULLUM S.A.,TINTORERIA ULLUM S.A.,BRAZIL,BRAZIL,Cotton equivalents,65201.05,45.5
2016,ARGENTINA,BUENOS AIRES,TINTORERIA ULLUM S.A.,TINTORERIA ULLUM S.A.,ECUADOR,ECUADOR,Cotton equivalents,265805.31,185.49
2014,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,BANGLADESH,BANGLADESH,Cotton equivalents,105374.89,71.34
2017,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,BELGIUM,EUROPEAN UNION,Cotton equivalents,68830.15,49.596
2014,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,BRAZIL,BRAZIL,Cotton equivalents,179209.73,125.06
2014,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,CHINA (HONG KONG),CHINA (HONG KONG),Cotton equivalents,344120.66,237.06
2014,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,CHINA (MAINLAND),CHINA (MAINLAND),Cotton equivalents,1188140.55,1033.41
2014,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,COLOMBIA,COLOMBIA,Cotton equivalents,541056.37,376.08
2016,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,COLOMBIA,COLOMBIA,Cotton equivalents,389379.81,274.25
2013,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,GERMANY,EUROPEAN UNION,Cotton equivalents,62695.36,44.7824
2017,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,GERMANY,EUROPEAN UNION,Cotton equivalents,90592.71,75.299
2014,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,INDIA,INDIA,Cotton equivalents,200139.04,202.2
2016,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,INDIA,INDIA,Cotton equivalents,33937.18,24.63
2014,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,INDONESIA,INDONESIA,Cotton equivalents,1926764.88,1431.85
2016,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,INDONESIA,INDONESIA,Cotton equivalents,310604.12,217.59
2017,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,INDONESIA,INDONESIA,Cotton equivalents,217685.91,147.61
2018,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,INDONESIA,INDONESIA,Cotton equivalents,581005.84,463.5
2013,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,ISRAEL,ISRAEL,Cotton equivalents,135958.94,82.1344
2014,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,ISRAEL,ISRAEL,Cotton equivalents,36566.27,21.8736
2014,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,ITALY,EUROPEAN UNION,Cotton equivalents,18806.37,22.45
2014,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,JAPAN,JAPAN,Cotton equivalents,252123.1,172.04
2014,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,MALAYSIA,MALAYSIA,Cotton equivalents,279433.59,281.35
2018,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,PAKISTAN,PAKISTAN,Cotton equivalents,582676.29,435
2014,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,SINGAPORE,SINGAPORE,Cotton equivalents,2664705.4,1954.59
2016,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,SINGAPORE,SINGAPORE,Cotton equivalents,674623.07,597.09
2017,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,SINGAPORE,SINGAPORE,Cotton equivalents,176787.47,118.8
2014,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,SOUTH KOREA,SOUTH KOREA,Cotton equivalents,96927.45,67.64
2013,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,SPAIN,EUROPEAN UNION,Cotton equivalents,352323.99,254.9332
2016,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,SPAIN,EUROPEAN UNION,Cotton equivalents,101390.12,101.14139
2017,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,SPAIN,EUROPEAN UNION,Cotton equivalents,115522.86,75.776242218171
2014,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,TAIWAN,TAIWAN,Cotton equivalents,225476.27,152.65
2014,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,THAILAND,THAILAND,Cotton equivalents,775635.3,541.51
2017,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,THAILAND,THAILAND,Cotton equivalents,247514.85,187.12
2018,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,THAILAND,THAILAND,Cotton equivalents,387480.57,268
2018,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,TURKEY,TURKEY,Cotton equivalents,193012.91,170
2015,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,UNITED STATES,UNITED STATES,Cotton equivalents,39621.2,39.621
2014,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,VIETNAM,VIETNAM,Cotton equivalents,271869.54,217.26
2018,ARGENTINA,BUENOS AIRES,TIPOITI SATIC.,TIPOITI SATIC.,VIETNAM,VIETNAM,Cotton equivalents,72752,50
2014,ARGENTINA,BUENOS AIRES,TRIDELTA S A,TRIDELTA S A,INDONESIA,INDONESIA,Cotton equivalents,78466.27,74.15
2014,ARGENTINA,BUENOS AIRES,TRIDELTA S A,TRIDELTA S A,SINGAPORE,SINGAPORE,Cotton equivalents,186603.97,170.32
2014,ARGENTINA,BUENOS AIRES,TRIDELTA S A,TRIDELTA S A,SOUTH KOREA,SOUTH KOREA,Cotton equivalents,537348.41,420.58
2014,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,BRAZIL,BRAZIL,Cotton equivalents,220380.63,149.2
2016,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,BRAZIL,BRAZIL,Cotton equivalents,655375.35,461.66
2018,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,BRAZIL,BRAZIL,Cotton equivalents,2689281.29,1555
2014,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,CHINA (MAINLAND),CHINA (MAINLAND),Cotton equivalents,478483.48,393.85
2018,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,CHINA (MAINLAND),CHINA (MAINLAND),Cotton equivalents,786215.48,550
2014,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,COLOMBIA,COLOMBIA,Cotton equivalents,596327.36,436.32
2016,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,COLOMBIA,COLOMBIA,Cotton equivalents,1083238.14,795.162606763239
2018,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,COLOMBIA,COLOMBIA,Cotton equivalents,660839.88,454
2014,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,INDIA,INDIA,Cotton equivalents,855961.78,921.17
2015,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,INDIA,INDIA,Cotton equivalents,636942.23,752.19
2016,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,INDIA,INDIA,Cotton equivalents,845608.27,711.22
2014,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,INDONESIA,INDONESIA,Cotton equivalents,2200134.18,1824.74
2015,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,INDONESIA,INDONESIA,Cotton equivalents,382354.47,373.49
2016,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,INDONESIA,INDONESIA,Cotton equivalents,387928.9,317.95
2017,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,INDONESIA,INDONESIA,Cotton equivalents,1231044.64,800.07
2018,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,INDONESIA,INDONESIA,Cotton equivalents,4398805.36,2712
2018,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,JAPAN,JAPAN,Cotton equivalents,395835.93,226
2015,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,MALAYSIA,MALAYSIA,Cotton equivalents,362759.88,354.61
2014,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,PAKISTAN,PAKISTAN,Cotton equivalents,50912.37,47.13
2018,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,PAKISTAN,PAKISTAN,Cotton equivalents,6549117.08,4249.2
2016,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,SINGAPORE,SINGAPORE,Cotton equivalents,98946.42,72.39
2013,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,TAIWAN,TAIWAN,Cotton equivalents,70804.04,49.41
2014,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,TAIWAN,TAIWAN,Cotton equivalents,242189.81,239.08
2017,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,TAIWAN,TAIWAN,Cotton equivalents,292247.94,193.066762759939
2018,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,TAIWAN,TAIWAN,Cotton equivalents,33950.84,22
2014,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,THAILAND,THAILAND,Cotton equivalents,585897.77,536.28
2017,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,THAILAND,THAILAND,Cotton equivalents,241720.95,169.24
2018,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,THAILAND,THAILAND,Cotton equivalents,476582.76,303.56
2014,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,TURKEY,TURKEY,Cotton equivalents,997218.6,964.48
2016,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,TURKEY,TURKEY,Cotton equivalents,32777.11,25.8566939827894
2017,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,TURKEY,TURKEY,Cotton equivalents,1156408.99,744.34
2018,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,TURKEY,TURKEY,Cotton equivalents,1037902.34,670.96
2014,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,VIETNAM,VIETNAM,Cotton equivalents,1309393.31,1152.31
2016,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,VIETNAM,VIETNAM,Cotton equivalents,68250.45,49.14
2017,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,VIETNAM,VIETNAM,Cotton equivalents,523782.77,346.66
2018,ARGENTINA,BUENOS AIRES,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,VIETNAM,VIETNAM,Cotton equivalents,223193.7,151
2014,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,BELGIUM,EUROPEAN UNION,Cotton equivalents,87802.5,70.242
2016,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,BELGIUM,EUROPEAN UNION,Cotton equivalents,59794.03,67.1843
2016,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,BRAZIL,BRAZIL,Cotton equivalents,397874.9,293.1
2016,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,CHINA (HONG KONG),CHINA (HONG KONG),Cotton equivalents,335437.2,252
2013,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,CHINA (MAINLAND),CHINA (MAINLAND),Cotton equivalents,1263693.03,893.32
2016,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,CHINA (MAINLAND),CHINA (MAINLAND),Cotton equivalents,664135.76,450
2015,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,COLOMBIA,COLOMBIA,Cotton equivalents,155624,196
2016,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,COLOMBIA,COLOMBIA,Cotton equivalents,185110.68,144.24
2013,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,GERMANY,EUROPEAN UNION,Cotton equivalents,49505.1,33.9076
2016,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,GERMANY,EUROPEAN UNION,Cotton equivalents,43122.2,49.0025
2017,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,GERMANY,EUROPEAN UNION,Cotton equivalents,65885.18,67.0114
2015,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,INDIA,INDIA,Cotton equivalents,676708.02,887.3315
2016,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,INDIA,INDIA,Cotton equivalents,518675.66,413.73
2013,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,INDONESIA,INDONESIA,Cotton equivalents,99583.41,71.7
2014,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,INDONESIA,INDONESIA,Cotton equivalents,142782.71,98.28
2015,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,INDONESIA,INDONESIA,Cotton equivalents,377909.86,398.76
2016,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,INDONESIA,INDONESIA,Cotton equivalents,1682323.25,1294.605
2017,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,INDONESIA,INDONESIA,Cotton equivalents,1097945.14,775.77
2013,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,ITALY,EUROPEAN UNION,Cotton equivalents,66290.04,49.7
2014,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,ITALY,EUROPEAN UNION,Cotton equivalents,320218.16,225
2015,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,ITALY,EUROPEAN UNION,Cotton equivalents,120635.3,152
2014,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,JAPAN,JAPAN,Cotton equivalents,80591.17,98.8
2016,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,JAPAN,JAPAN,Cotton equivalents,287612.2,221.33
2017,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,JAPAN,JAPAN,Cotton equivalents,105474.34,93.81
2015,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,LUXEMBOURG,EUROPEAN UNION,Cotton equivalents,18262.65,26.298
2015,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,MOROCCO,MOROCCO,Cotton equivalents,107344.95,111.86
2013,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,PAKISTAN,PAKISTAN,Cotton equivalents,226621.5,150
2014,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,PHILIPPINES,PHILIPPINES,Cotton equivalents,131410.72,92.07
2017,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,PORTUGAL,EUROPEAN UNION,Cotton equivalents,324208.5,202.9
2013,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,SINGAPORE,SINGAPORE,Cotton equivalents,115048.81,90.07
2015,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,SINGAPORE,SINGAPORE,Cotton equivalents,258814.19,297.55
2016,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,SINGAPORE,SINGAPORE,Cotton equivalents,1371863,1037.64
2017,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,SINGAPORE,SINGAPORE,Cotton equivalents,146164.98,102
