YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB,SHRIMP_EQUIVALENT_TONNES
2013,ARGENTINA,MAR DEL PLATA,LUIS SOLIMENO E HIJOS S.A. X,LUIS SOLIMENO E HIJOS S.A. X,SPAIN,EUROPEAN UNION,Shrimp equivalents,1705990.92,231.096
2014,ARGENTINA,MAR DEL PLATA,LUIS SOLIMENO E HIJOS S.A. X,LUIS SOLIMENO E HIJOS S.A. X,SPAIN,EUROPEAN UNION,Shrimp equivalents,2252716.2,306.96
2015,ARGENTINA,MAR DEL PLATA,LUIS SOLIMENO E HIJOS S.A. X,LUIS SOLIMENO E HIJOS S.A. X,SPAIN,EUROPEAN UNION,Shrimp equivalents,836111.84,128.2676
2017,ARGENTINA,MAR DEL PLATA,LUIS SOLIMENO E HIJOS S.A. X,LUIS SOLIMENO E HIJOS S.A. X,SPAIN,EUROPEAN UNION,Shrimp equivalents,1044217.2,155.004
2013,ARGENTINA,MAR DEL PLATA,LUIS SOLIMENO E HIJOS S.A. X,LUIS SOLIMENO E HIJOS S.A. X,TAIWAN,TAIWAN,Shrimp equivalents,104424,10.992
2014,ARGENTINA,MAR DEL PLATA,LUIS SOLIMENO E HIJOS S.A. X,LUIS SOLIMENO E HIJOS S.A. X,TAIWAN,TAIWAN,Shrimp equivalents,566470.8,151.536
2014,ARGENTINA,MAR DEL PLATA,LUIS SOLIMENO E HIJOS S.A. X,LUIS SOLIMENO E HIJOS S.A. X,THAILAND,THAILAND,Shrimp equivalents,339840,42.48
2013,ARGENTINA,MAR DEL PLATA,LUIS SOLIMENO E HIJOS S.A. X,LUIS SOLIMENO E HIJOS S.A. X,UKRAINE,UKRAINE,Shrimp equivalents,141600,24
2014,ARGENTINA,MAR DEL PLATA,LUIS SOLIMENO E HIJOS S.A. X,LUIS SOLIMENO E HIJOS S.A. X,UKRAINE,UKRAINE,Shrimp equivalents,69556.8,16.464
2017,ARGENTINA,MAR DEL PLATA,LUIS SOLIMENO E HIJOS S.A. X,LUIS SOLIMENO E HIJOS S.A. X,UNITED KINGDOM,EUROPEAN UNION,Shrimp equivalents,66973.2,9.996
2013,ARGENTINA,MAR DEL PLATA,LUIS SOLIMENO E HIJOS S.A. X,LUIS SOLIMENO E HIJOS S.A. X,UNITED STATES,UNITED STATES,Shrimp equivalents,60030,8.004
2015,ARGENTINA,MAR DEL PLATA,LUIS SOLIMENO E HIJOS S.A. X,LUIS SOLIMENO E HIJOS S.A. X,UNITED STATES,UNITED STATES,Shrimp equivalents,309988.81,49.44528
2017,ARGENTINA,MAR DEL PLATA,LUIS SOLIMENO E HIJOS S.A. X,LUIS SOLIMENO E HIJOS S.A. X,UNITED STATES,UNITED STATES,Shrimp equivalents,546660,81.6461538461538
2014,ARGENTINA,MAR DEL PLATA,LUIS SOLIMENO E HIJOS S.A. X,LUIS SOLIMENO E HIJOS S.A. X,VIETNAM,VIETNAM,Shrimp equivalents,354606,46.2
2015,ARGENTINA,MAR DEL PLATA,LUNA PORTA ALVARO JAVIER,LUNA PORTA ALVARO JAVIER,BRAZIL,BRAZIL,Shrimp equivalents,128963,20.42
2013,ARGENTINA,MAR DEL PLATA,MARDI S.A.,MARDI S.A.,CHILE,CHILE,Shrimp equivalents,1106,0.07
2014,ARGENTINA,MAR DEL PLATA,MARDI S.A.,MARDI S.A.,CHILE,CHILE,Shrimp equivalents,1106,0.07
2015,ARGENTINA,MAR DEL PLATA,MARDI S.A.,MARDI S.A.,CHILE,CHILE,Shrimp equivalents,4914,0.315
2014,ARGENTINA,MAR DEL PLATA,MARONTI S. A.,MARONTI S. A.,BELGIUM,EUROPEAN UNION,Shrimp equivalents,313982.41,48
2014,ARGENTINA,MAR DEL PLATA,MARONTI S. A.,MARONTI S. A.,CHINA (HONG KONG),CHINA (HONG KONG),Shrimp equivalents,160200,24
2013,ARGENTINA,MAR DEL PLATA,MARONTI S. A.,MARONTI S. A.,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,1066205.6,156.604
2014,ARGENTINA,MAR DEL PLATA,MARONTI S. A.,MARONTI S. A.,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,1351236,190.848
2015,ARGENTINA,MAR DEL PLATA,MARONTI S. A.,MARONTI S. A.,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,674323.59,215.988
2017,ARGENTINA,MAR DEL PLATA,MARONTI S. A.,MARONTI S. A.,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,3413965.8,509.364
2017,ARGENTINA,MAR DEL PLATA,MARONTI S. A.,MARONTI S. A.,ITALY,EUROPEAN UNION,Shrimp equivalents,443874.84,68.2884369230769
2013,ARGENTINA,MAR DEL PLATA,MARONTI S. A.,MARONTI S. A.,JAPAN,JAPAN,Shrimp equivalents,571268.16,102.384
2013,ARGENTINA,MAR DEL PLATA,MARONTI S. A.,MARONTI S. A.,NETHERLANDS,EUROPEAN UNION,Shrimp equivalents,285591.2,45.448
2013,ARGENTINA,MAR DEL PLATA,MARONTI S. A.,MARONTI S. A.,PORTUGAL,EUROPEAN UNION,Shrimp equivalents,172202.4,24
2015,ARGENTINA,MAR DEL PLATA,MARONTI S. A.,MARONTI S. A.,SINGAPORE,SINGAPORE,Shrimp equivalents,936144,142.992
2014,ARGENTINA,MAR DEL PLATA,MARONTI S. A.,MARONTI S. A.,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,351720,47.64
2017,ARGENTINA,MAR DEL PLATA,MARONTI S. A.,MARONTI S. A.,SPAIN,EUROPEAN UNION,Shrimp equivalents,163617.53,23.844
2013,ARGENTINA,MAR DEL PLATA,MARONTI S. A.,MARONTI S. A.,TAIWAN,TAIWAN,Shrimp equivalents,161028,23.004
2014,ARGENTINA,MAR DEL PLATA,MARONTI S. A.,MARONTI S. A.,UNITED STATES,UNITED STATES,Shrimp equivalents,84000,12
2017,ARGENTINA,MAR DEL PLATA,MERIDIAN S A,MERIDIAN S A,MOROCCO,MOROCCO,Shrimp equivalents,362254.8,52.164
2017,ARGENTINA,MAR DEL PLATA,MERIDIAN S A,MERIDIAN S A,PERU,PERU,Shrimp equivalents,352320.53,53.82
2017,ARGENTINA,MAR DEL PLATA,MERIDIAN S A,MERIDIAN S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,171600,24
2017,ARGENTINA,MAR DEL PLATA,MERIDIAN S A,MERIDIAN S A,THAILAND,THAILAND,Shrimp equivalents,168000,24
2015,ARGENTINA,MAR DEL PLATA,MERIDIAN S A,MERIDIAN S A,UNITED STATES,UNITED STATES,Shrimp equivalents,556669.01,79.15132
2013,ARGENTINA,MAR DEL PLATA,M Y A KALIMAR S A EN FORMACION,M Y A KALIMAR S A EN FORMACION,URUGUAY,URUGUAY,Shrimp equivalents,4200,0.6
2017,ARGENTINA,MAR DEL PLATA,NEDAR S.A.,NEDAR S.A.,SPAIN,EUROPEAN UNION,Shrimp equivalents,147406.79,24.048
2015,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,BAHAMAS,BAHAMAS,Shrimp equivalents,90778.03,13.89677
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,BELGIUM,EUROPEAN UNION,Shrimp equivalents,203370.23,20.256
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,BRAZIL,BRAZIL,Shrimp equivalents,1719863.65,247.452
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,293328,45.6
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Shrimp equivalents,123440.35,14.15232
2013,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,GREECE,EUROPEAN UNION,Shrimp equivalents,108367.2,14.268
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,GUATEMALA,GUATEMALA,Shrimp equivalents,960551.7,143.227143076923
2014,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,ITALY,EUROPEAN UNION,Shrimp equivalents,510548.39,70.176
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,ITALY,EUROPEAN UNION,Shrimp equivalents,713130.89,90.4090769230769
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,JAPAN,JAPAN,Shrimp equivalents,431421.12,64.74
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,MEXICO,MEXICO,Shrimp equivalents,149164.63,22.576
2014,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,MOROCCO,MOROCCO,Shrimp equivalents,172800,24
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,NETHERLANDS,EUROPEAN UNION,Shrimp equivalents,623728.16,62.848
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,PERU,PERU,Shrimp equivalents,567913.56,84.994
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,POLAND,EUROPEAN UNION,Shrimp equivalents,148140.72,19.992
2015,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Shrimp equivalents,75032.5,12.763
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,73800,12
2014,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,SPAIN,EUROPEAN UNION,Shrimp equivalents,1979493.59,272.796
2015,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,SPAIN,EUROPEAN UNION,Shrimp equivalents,692917.19,116.628
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,SPAIN,EUROPEAN UNION,Shrimp equivalents,1226247.84,200.096
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,THAILAND,THAILAND,Shrimp equivalents,338922.38,48.006
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,UNITED KINGDOM,EUROPEAN UNION,Shrimp equivalents,152316,21.84
2015,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,UNITED STATES,UNITED STATES,Shrimp equivalents,93050.8,13.448
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,UNITED STATES,UNITED STATES,Shrimp equivalents,1785886.18,365.18295
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,URUGUAY,URUGUAY,Shrimp equivalents,87429.86,11.3398
2017,ARGENTINA,MAR DEL PLATA,NEWSAN SA.,NEWSAN SA.,VIETNAM,VIETNAM,Shrimp equivalents,198450,27
2015,ARGENTINA,MAR DEL PLATA,NUNCIO DE ROSA SOCIEDAD DE RESPONSABILIDAD LIMITADA,NUNCIO DE ROSA SOCIEDAD DE RESPONSABILIDAD LIMITADA,BAHAMAS,BAHAMAS,Shrimp equivalents,117667.81,15.67536
2015,ARGENTINA,MAR DEL PLATA,NUNCIO DE ROSA SOCIEDAD DE RESPONSABILIDAD LIMITADA,NUNCIO DE ROSA SOCIEDAD DE RESPONSABILIDAD LIMITADA,BRAZIL,BRAZIL,Shrimp equivalents,135073,19.0512
2017,ARGENTINA,MAR DEL PLATA,NUNCIO DE ROSA SOCIEDAD DE RESPONSABILIDAD LIMITADA,NUNCIO DE ROSA SOCIEDAD DE RESPONSABILIDAD LIMITADA,UNITED KINGDOM,EUROPEAN UNION,Shrimp equivalents,171600,20
2015,ARGENTINA,MAR DEL PLATA,NUNCIO DE ROSA SOCIEDAD DE RESPONSABILIDAD LIMITADA,NUNCIO DE ROSA SOCIEDAD DE RESPONSABILIDAD LIMITADA,UNITED STATES,UNITED STATES,Shrimp equivalents,53434.08,9.9792
2014,ARGENTINA,MAR DEL PLATA,OSTRAMAR S A,OSTRAMAR S A,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,313200,48
2013,ARGENTINA,MAR DEL PLATA,OSTRAMAR S A,OSTRAMAR S A,DENMARK,EUROPEAN UNION,Shrimp equivalents,130177.32,22.008
2013,ARGENTINA,MAR DEL PLATA,OSTRAMAR S A,OSTRAMAR S A,ITALY,EUROPEAN UNION,Shrimp equivalents,260354.63,44.016
2014,ARGENTINA,MAR DEL PLATA,OSTRAMAR S A,OSTRAMAR S A,ITALY,EUROPEAN UNION,Shrimp equivalents,953602.44,168
2013,ARGENTINA,MAR DEL PLATA,OSTRAMAR S A,OSTRAMAR S A,JAPAN,JAPAN,Shrimp equivalents,539707.31,102.684
2014,ARGENTINA,MAR DEL PLATA,OSTRAMAR S A,OSTRAMAR S A,JAPAN,JAPAN,Shrimp equivalents,144912,24
2013,ARGENTINA,MAR DEL PLATA,OSTRAMAR S A,OSTRAMAR S A,PORTUGAL,EUROPEAN UNION,Shrimp equivalents,141960,24
2014,ARGENTINA,MAR DEL PLATA,OSTRAMAR S A,OSTRAMAR S A,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,55878.72,10.476
2014,ARGENTINA,MAR DEL PLATA,OSTRAMAR S A,OSTRAMAR S A,VIETNAM,VIETNAM,Shrimp equivalents,234822,46.2
2017,ARGENTINA,MAR DEL PLATA,PAMPA FISH SA EN FORMACION,PAMPA FISH SA EN FORMACION,ITALY,EUROPEAN UNION,Shrimp equivalents,100000,12.6923076923077
2013,ARGENTINA,MAR DEL PLATA,PAMPA FISH SA EN FORMACION,PAMPA FISH SA EN FORMACION,UNITED STATES,UNITED STATES,Shrimp equivalents,214062.6,24.007
2014,ARGENTINA,MAR DEL PLATA,PC-ARTS ARGENTINA S.A.,PC-ARTS ARGENTINA S.A.,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,218940,24.6
2014,ARGENTINA,MAR DEL PLATA,PC-ARTS ARGENTINA S.A.,PC-ARTS ARGENTINA S.A.,ITALY,EUROPEAN UNION,Shrimp equivalents,350730,59.844
2013,ARGENTINA,MAR DEL PLATA,PC-ARTS ARGENTINA S.A.,PC-ARTS ARGENTINA S.A.,JAPAN,JAPAN,Shrimp equivalents,197568,22.008
2014,ARGENTINA,MAR DEL PLATA,PC-ARTS ARGENTINA S.A.,PC-ARTS ARGENTINA S.A.,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,186666,22.2
2014,ARGENTINA,MAR DEL PLATA,PC-ARTS ARGENTINA S.A.,PC-ARTS ARGENTINA S.A.,TAIWAN,TAIWAN,Shrimp equivalents,199288.8,22.392
2015,ARGENTINA,MAR DEL PLATA,PC-ARTS ARGENTINA S.A.,PC-ARTS ARGENTINA S.A.,TAIWAN,TAIWAN,Shrimp equivalents,808694.41,116.808
2015,ARGENTINA,MAR DEL PLATA,PC-ARTS ARGENTINA S.A.,PC-ARTS ARGENTINA S.A.,THAILAND,THAILAND,Shrimp equivalents,929253,160.668
2013,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,ALGERIA,ALGERIA,Shrimp equivalents,237330,45.912
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,ALGERIA,ALGERIA,Shrimp equivalents,183120,24
2017,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,ALGERIA,ALGERIA,Shrimp equivalents,163118.41,23.988
2017,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,CANADA,CANADA,Shrimp equivalents,218837.42,33.012
2013,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,CHINA (HONG KONG),CHINA (HONG KONG),Shrimp equivalents,71524.8,10.02
2014,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,CHINA (HONG KONG),CHINA (HONG KONG),Shrimp equivalents,1034846.4,156.893142857143
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,CHINA (HONG KONG),CHINA (HONG KONG),Shrimp equivalents,443449.44,71.436
2017,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,CHINA (HONG KONG),CHINA (HONG KONG),Shrimp equivalents,1212116.4,178.632
2013,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,6403948.8,1027.176
2014,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,3225600,582.857142857143
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,11331857.52,1624.44
2017,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,6203767.82,983.908
2013,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,DENMARK,EUROPEAN UNION,Shrimp equivalents,962121.6,134.064
2014,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,DENMARK,EUROPEAN UNION,Shrimp equivalents,1022108.4,144.024
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,DENMARK,EUROPEAN UNION,Shrimp equivalents,180096,24.012
2017,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,DENMARK,EUROPEAN UNION,Shrimp equivalents,579464.4,80.532
2013,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Shrimp equivalents,192000,24
2014,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,GREECE,EUROPEAN UNION,Shrimp equivalents,9600,1.2
2013,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,ITALY,EUROPEAN UNION,Shrimp equivalents,8473717.09,1132.764
2014,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,ITALY,EUROPEAN UNION,Shrimp equivalents,9908240.66,1555.47257142857
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,ITALY,EUROPEAN UNION,Shrimp equivalents,8628532.44,1447.416
2017,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,ITALY,EUROPEAN UNION,Shrimp equivalents,11141905.31,1632.00184615385
2013,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,JAPAN,JAPAN,Shrimp equivalents,9930415.78,1585.92
2014,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,JAPAN,JAPAN,Shrimp equivalents,2503332,353.208
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,JAPAN,JAPAN,Shrimp equivalents,3487250.51,545.459
2017,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,JAPAN,JAPAN,Shrimp equivalents,1190400,176.4
2014,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,MACEDONIA,MACEDONIA,Shrimp equivalents,8760,1.2
2017,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,MACEDONIA,MACEDONIA,Shrimp equivalents,39462,6
2013,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,MALAYSIA,MALAYSIA,Shrimp equivalents,108000,15
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,MALAYSIA,MALAYSIA,Shrimp equivalents,377340,48
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,MALTA,EUROPEAN UNION,Shrimp equivalents,305474.4,48.012
2013,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,MOLDOVA,MOLDOVA,Shrimp equivalents,28800,12
2014,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,MOLDOVA,MOLDOVA,Shrimp equivalents,42885.6,12.024
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,MOLDOVA,MOLDOVA,Shrimp equivalents,15913.26,2.508
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,NETHERLANDS,EUROPEAN UNION,Shrimp equivalents,1417800,216
2017,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,NETHERLANDS,EUROPEAN UNION,Shrimp equivalents,164208,24
2013,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,PORTUGAL,EUROPEAN UNION,Shrimp equivalents,1078578,200.028
2014,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,PORTUGAL,EUROPEAN UNION,Shrimp equivalents,1869948,289.762285714286
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,PORTUGAL,EUROPEAN UNION,Shrimp equivalents,352581.2,60.248
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Shrimp equivalents,20865.6,3.024
2017,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Shrimp equivalents,476162.4,72
2014,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,SINGAPORE,SINGAPORE,Shrimp equivalents,168000,24
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,SINGAPORE,SINGAPORE,Shrimp equivalents,831552,124.008
2013,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,1123734,191.028
2014,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,120000,24
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,142169.77,24.003
2017,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,656081.99,104.58
2013,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,773268,117.6
2014,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,684806.4,108.444
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,967900.8,129.6
2017,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,2158508.5,308.769230769231
2013,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,SPAIN,EUROPEAN UNION,Shrimp equivalents,3323627.99,545.748
2014,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,SPAIN,EUROPEAN UNION,Shrimp equivalents,3701092.19,550.128
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,SPAIN,EUROPEAN UNION,Shrimp equivalents,9573082.56,1531.536
2017,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,SPAIN,EUROPEAN UNION,Shrimp equivalents,4464775.79,673.00523076923
2013,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,TAIWAN,TAIWAN,Shrimp equivalents,283082.4,39.024
2014,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,TAIWAN,TAIWAN,Shrimp equivalents,1982484,268.572
2015,ARGENTINA,MAR DEL PLATA,PEDRO MOSCUZZA E HIJOS S.A. X,PEDRO MOSCUZZA E HIJOS S.A. X,TAIWAN,TAIWAN,Shrimp equivalents,1714944,240
